,FFIV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",29.4,26.06,Valuation,1.128165771297007
Price/Sales (TTM),3.48,5.09,Valuation,0.6836935166994106
Price/Book (MRQ),3.76,4.51,Valuation,0.8337028824833703
"PEG Ratio (TTM, GAAP)",3.13,2.07,Valuation,1.5120772946859904
Gross Profit Margin (TTM),0.7998000000000001,0.5751,Profitability,1.3907146583202923
Operating Profit Margin (TTM),0.14980000000000002,0.2231,Profitability,0.6714477812640073
Net Profit Margin (TTM),0.1195,0.1819,Profitability,0.65695437053326
Annual Dividend Yield,,0.0201,Dividend,
Dividend Change %,,0.052300000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0484,Dividend,
EPS Growth (MRQ),0.0781,-0.16579999999999998,Gowth rates,-0.47104945717732216
EPS Growth (TTM),-0.0126,0.1262,Gowth rates,-0.09984152139461172
Revenue Growth (MRQ),0.0379,0.1365,Gowth rates,0.27765567765567767
Revenue Growth (TTM),0.0355,0.0862,Gowth rates,0.41183294663573083
Return On Equity (TTM),0.1334,0.195,Effectiveness,0.684102564102564
Return On Assets (TTM),0.06269999999999999,0.1241,Effectiveness,0.5052377115229653
Return On Investment (TTM),0.09150000000000001,0.1684,Effectiveness,0.5433491686460808
Revenue Per Employee (TTM),380286.0,688581.0,Effectiveness,0.5522748957638971
Total Debt/Total Capital (MRQ),0.1241,0.36450000000000005,Financial strength,0.34046639231824416
Change in Debt/Total Capital Quarter over Quarter,-0.001,0.0002,Financial strength,-5.0
Quick Ratio (MRQ),1.0,1.51,Financial strength,0.6622516556291391
Interest Coverage (MRQ),,1.83,Financial strength,
