,SSP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.47,15.8,Valuation,0.7259493670886076
Price/Sales (TTM),0.51,2.92,Valuation,0.17465753424657535
Price/Book (MRQ),0.73,3.23,Valuation,0.2260061919504644
"PEG Ratio (TTM, GAAP)",,10.23,Valuation,
Gross Profit Margin (TTM),0.4965,0.5389,Profitability,0.9213212098719613
Operating Profit Margin (TTM),0.16190000000000002,0.14,Profitability,1.1564285714285714
Net Profit Margin (TTM),0.0681,0.1103,Profitability,0.6174070716228468
Annual Dividend Yield,,0.0176,Dividend,
Dividend Change %,,0.056900000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0675,Dividend,
EPS Growth (MRQ),0.1623,0.7041,Gowth rates,0.23050703025138478
EPS Growth (TTM),-0.2161,0.0154,Gowth rates,-14.032467532467532
Revenue Growth (MRQ),0.029700000000000004,0.1423,Gowth rates,0.20871398453970486
Revenue Growth (TTM),0.0631,0.1115,Gowth rates,0.5659192825112108
Return On Equity (TTM),0.0707,0.1409,Effectiveness,0.5017743080198722
Return On Assets (TTM),0.025099999999999997,0.0388,Effectiveness,0.6469072164948453
Return On Investment (TTM),0.027000000000000003,0.049800000000000004,Effectiveness,0.5421686746987951
Revenue Per Employee (TTM),427601.0,648551.0,Effectiveness,0.6593174630830883
Total Debt/Total Capital (MRQ),0.5927,0.5946,Financial strength,0.9968045745038682
Change in Debt/Total Capital Quarter over Quarter,-0.0004,0.0004,Financial strength,-1.0
Quick Ratio (MRQ),,0.26,Financial strength,
Interest Coverage (MRQ),2.52,5.53,Financial strength,0.45569620253164556
