,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,119.58,120.59,129.93,145.35,165.98,160.71,,,,,
low,109.27,72.5,74.56,70.99,134.54,108.35,,,,,
change,-0.0346,-0.3155,0.6481,0.0932,0.0669,0.0070999999999999995,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,42.0,84.0,76.0,75.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,238.0,297.0,307.0,302.0,Balance Sheet
Other Receivables,,,,,,,2.0,0.0,1.0,3.0,Balance Sheet
"Total Receivables, Net",,,,,,,240.0,297.0,308.0,305.0,Balance Sheet
Invent. - Finished Goods,,,,,,,278.0,311.0,310.0,320.0,Balance Sheet
Invent. - Work In Progress,,,,,,,25.0,31.0,29.0,28.0,Balance Sheet
Invent. - Raw Materials,,,,,,,18.0,13.0,13.0,14.0,Balance Sheet
Total Inventory,,,,,,,321.0,355.0,353.0,363.0,Balance Sheet
Prepaid Expenses,,,,,,,10.0,13.0,11.0,7.0,Balance Sheet
Total Current Assets,,,,,,,612.0,749.0,748.0,751.0,Balance Sheet
Machinery/Equipment,,,,,,,53.0,52.0,52.0,55.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,339.0,342.0,342.0,342.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,391.0,394.0,394.0,397.0,Balance Sheet
Accumulated Depreciation,,,,,,,-189.0,-192.0,-193.0,-194.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,202.0,201.0,201.0,203.0,Balance Sheet
"Goodwill, Net",,,,,,,202.0,199.0,196.0,193.0,Balance Sheet
Intangibles - Gross,,,,,,,233.0,236.0,236.0,234.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-50.0,-54.0,-57.0,-61.0,Balance Sheet
Intangibles - Net,,,,,,,183.0,182.0,179.0,174.0,Balance Sheet
Other Long Term Assets,,,,,,,5.0,5.0,7.0,7.0,Balance Sheet
Total Assets,,,,,,,1206.0,1338.0,1332.0,1328.0,Balance Sheet
Accounts Payable,,,,,,,101.0,114.0,107.0,101.0,Balance Sheet
Accrued Expenses,,,,,,,74.0,68.0,66.0,72.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,15.0,15.0,15.0,15.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,3.0,1.0,1.0,5.0,Balance Sheet
