,ALG
% Below High,0.0696
% Held by Institutions,0.9225
52-Wk Range,['108.35 - 160.71']
Annual Dividend $,0.72
Annual Dividend %,0.0048
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,60.29
Bid Size,
Closing Price,149.53
Day Change $,-0.25
Day Change %,-0.0017000000000000001
Day High,152.2
Day Low,149.24
Dividend Pay Date,2022-11-01 00:00:00
"EPS (TTM, GAAP)",7.71
Ex-dividend,2022-10-17 00:00:00
Ex-dividend Date,10/17/22
Historical Volatility,0.28500000000000003
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.39
Prev Close,149.78
Short Interest,0.0087
Today's Open,150.99
Volume,20978.0
Volume 10-day Avg,43954.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.23913043478260865
Growth 1yr High Est,0.18832116788321174
Growth 1yr Consensus Est,0.2137258013329102
Growth 2yr Low Est,0.1772093276669935
Growth 2yr High Est,0.19366918345020534
Growth 2yr Consensus Est,0.18543925555859941
Growth 5yr Low Est,0.10783543306426596
Growth 5yr High Est,0.1212736942892052
Growth 5yr Consensus Est,0.11455456367673558
Growth 5yr Actual/Est,0.13244940282140863
Growth 3yr Historic,0.04666546317309675
Price/Earnings (TTM),19.38615
Price/Sales (TTM),1.22205
Price/Book (MRQ),2.41631
Price/Cash Flow (TTM),13.10139
5yr Low,70.99
5yr High,165.98
5yr Avg Return,0.07753333333333334
EPS Growth 5yr,0.1426754
Revenue Growth 5yr,0.09572169999999999
Dividend Growth 5yr,0.0923885
Short Int Current Month,101290.0
Short Int Prev Month,122117.0
Short Int Pct of Float,0.0086673
Days to Cover,1.92875
Float,11.68825
Shares Outstanding,11.96622
Institutions Holding Shares,252.0
FCF Growth 5yr,-1.2290374169616205
"Price/Earnings (TTM, GAAP)",19.39
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2475
Operating Profit Margin (TTM),0.0913
Net Profit Margin (TTM),0.06280000000000001
Annual Dividend Yield,0.0048
Dividend Change %,0.07690000000000001
"Dividend Growth Rate, 3 Years",0.0837
EPS Growth (MRQ),-0.09330000000000001
EPS Growth (TTM),0.3052
Revenue Growth (MRQ),-0.0692
Revenue Growth (TTM),0.1388
Return On Equity (TTM),0.1288
Return On Assets (TTM),0.0723
Return On Investment (TTM),0.0853
Revenue Per Employee (TTM),348616.0
Total Debt/Total Capital (MRQ),0.33030000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002
Quick Ratio (MRQ),2.01
Interest Coverage (MRQ),9.84
newConstructs,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-09-23 00:00:00
ford since,2022-09-23 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-08-26 00:00:00
