,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,28.65,26.38,,,,,
low,15.61,7.97,,,,,
change,0.5429,-0.627,,,,,
Date,,,2021-12-31 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-10-01 00:00:00,Balance Sheet
Cash and Short Term Invs,,,266.0,118.0,109.0,73.0,Balance Sheet
"Trade Accts Recvble, Gross",,,210.0,354.0,252.0,111.0,Balance Sheet
Prov. for Doubtful Accts,,,-2.0,-5.0,-3.0,-3.0,Balance Sheet
"Total Receivables, Net",,,208.0,349.0,249.0,109.0,Balance Sheet
Invent. - Finished Goods,,,86.0,109.0,149.0,160.0,Balance Sheet
Invent. - Work In Progress,,,23.0,20.0,22.0,19.0,Balance Sheet
Invent. - Raw Materials,,,125.0,132.0,142.0,134.0,Balance Sheet
Total Inventory,,,233.0,261.0,312.0,313.0,Balance Sheet
Prepaid Expenses,,,12.0,10.0,18.0,16.0,Balance Sheet
"Other Curr. Assets, Total",,,31.0,20.0,21.0,51.0,Balance Sheet
Total Current Assets,,,751.0,758.0,709.0,562.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,214.0,220.0,222.0,225.0,Balance Sheet
Accumulated Depreciation,,,-67.0,-71.0,-75.0,-77.0,Balance Sheet
Prop./Plant/Equip. - Net,,,147.0,149.0,148.0,148.0,Balance Sheet
"Goodwill, Net",,,924.0,924.0,927.0,927.0,Balance Sheet
Intangibles - Net,,,1082.0,1073.0,1103.0,1081.0,Balance Sheet
Other Long Term Assets,,,75.0,95.0,95.0,111.0,Balance Sheet
Total Assets,,,2978.0,3000.0,2981.0,2830.0,Balance Sheet
Accounts Payable,,,87.0,95.0,98.0,65.0,Balance Sheet
Accrued Expenses,,,182.0,-8.0,192.0,143.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,12.0,12.0,12.0,12.0,Balance Sheet
Customer Advances,,,8.0,190.0,9.0,9.0,Balance Sheet
Income Taxes Payable,,,14.0,31.0,0.0,0.0,Balance Sheet
Other Current Liabilities,,,0.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,22.0,221.0,9.0,9.0,Balance Sheet
Total Current Liabilities,,,304.0,320.0,310.0,229.0,Balance Sheet
Long Term Debt,,,967.0,966.0,1114.0,1062.0,Balance Sheet
Capital Lease Obligations,,,6.0,5.0,6.0,5.0,Balance Sheet
Total Long Term Debt,,,973.0,971.0,1119.0,1067.0,Balance Sheet
Total Debt,,,985.0,983.0,1131.0,1079.0,Balance Sheet
Deferred Income Tax,,,262.0,260.0,256.0,266.0,Balance Sheet
"Other Liabilities, Total",,,70.0,76.0,74.0,72.0,Balance Sheet
Total Liabilities,,,1609.0,1627.0,1760.0,1634.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,1059.0,1061.0,1064.0,1067.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,321.0,395.0,461.0,484.0,Balance Sheet
Treasury Stock - Common,,,-14.0,-95.0,-307.0,-357.0,Balance Sheet
"Other Equity, Total",,,4.0,12.0,3.0,2.0,Balance Sheet
Total Equity,,,1370.0,1373.0,1222.0,1196.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,2978.0,3000.0,2981.0,2830.0,Balance Sheet
Ttl Comm. Shares Outs.,,,233.0,229.0,216.0,211.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,5.0,9.0,24.0,29.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-10-01 00:00:00,Income Statement
Total Revenue,,,352385.0,410460.0,399442.0,245267.0,Income Statement
"Cost of Revenue, Total",,,186979.0,220066.0,210077.0,137483.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,60135.0,68857.0,68947.0,50493.0,Income Statement
Research & Development,,,6680.0,5236.0,5033.0,6142.0,Income Statement
Depreciation/Amortization,,,6485.0,7610.0,7697.0,8521.0,Income Statement
Unusual Expense (Income),,,12578.0,2271.0,4940.0,2288.0,Income Statement
Total Operating Expense,,,272857.0,304040.0,296694.0,204927.0,Income Statement
Total Operating Income,,,79528.0,106420.0,102748.0,40340.0,Income Statement
"Inter Expse,Net Non-Operat",,,-8557.0,-9562.0,-11605.0,-13938.0,Income Statement
OtherNon-OperatInc (Expnse),,,7094.0,514.0,-3804.0,234.0,Income Statement
"Other, Net",,,7094.0,514.0,-3804.0,234.0,Income Statement
