,HAYW
% Above Low,0.22710000000000002
% Held by Institutions,1.0659
52-Wk Range,['7.97 - 26.42']
Annual Dividend $,
Annual Dividend %,
Ask,12.49
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,8.0
Bid Size,100.0
Closing Price,9.78
Day Change $,0.05
Day Change %,0.0051
Day High,9.83
Day Low,9.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.96
Ex-dividend Date,No dividend
Historical Volatility,0.542
Last (size),24200.0
Last (time),5:00p ET 11/25/22
Market Cap,2.1B
"P/E Ratio (TTM, GAAP)",10.21
Prev Close,9.73
Short Interest,0.08900000000000001
Today's Open,9.69
Volume,265620.0
Volume 10-day Avg,1227962.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.3626373626373627
Growth 2yr High Est,-0.01980198019801982
Growth 2yr Consensus Est,-0.19121967141769125
Growth 5yr Low Est,-0.3626373626373627
Growth 5yr High Est,-0.01980198019801982
Growth 5yr Consensus Est,-0.19121967141769125
Growth 5yr Actual/Est,-0.2288737717309146
Growth 3yr Historic,0.0
Price/Earnings (TTM),10.20813
Price/Sales (TTM),1.468
Price/Book (MRQ),1.72729
Price/Cash Flow (TTM),7.31985
5yr Low,7.97
5yr High,28.65
5yr Avg Return,-0.04205000000000002
Short Int Current Month,14930929.0
Short Int Prev Month,14691696.0
Short Int Pct of Float,0.0889872
Days to Cover,9.82793
Float,209.6951
Shares Outstanding,211.2766
Institutions Holding Shares,203.0
FCF Growth 5yr,-0.5426956615559148
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",10.21
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.46390000000000003
Operating Profit Margin (TTM),0.2338
Net Profit Margin (TTM),0.1613
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6412000000000001
EPS Growth (TTM),
Revenue Growth (MRQ),-0.386
Revenue Growth (TTM),
Return On Equity (TTM),0.1818
Return On Assets (TTM),0.08
Return On Investment (TTM),0.08789999999999999
Revenue Per Employee (TTM),502698.0
Total Debt/Total Capital (MRQ),0.4742
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),1.09
Interest Coverage (MRQ),3.06
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-04-29 00:00:00
researchTeam since,2022-04-29 00:00:00
ford since,2022-06-03 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
