,MO
% Above Low,0.10880000000000001
% Held by Institutions,0.578
52-Wk Range,['40.35 - 57.05']
Annual Dividend $,3.76
Annual Dividend %,0.084
Ask,44.74
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,0.7
Bid,44.57
Bid Size,400.0
Change Since Close,-0.01| |(-0.02%)
Closing Price,44.74
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-11 00:00:00
"EPS (TTM, GAAP)",2.57
Ex-dividend,2022-09-14 00:00:00
Ex-dividend Date,09/14/22
Historical Volatility,0.257
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,44.73
Market Cap,80.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.38
Prev Close,44.74
Short Interest,0.0083
Today's Open,
Volume,356.0
Volume 10-day Avg,8044975.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.05934065934065935
Growth 1yr High Est,0.047311827956989294
Growth 1yr Consensus Est,0.05332624364882432
Growth 2yr Low Est,0.043155806848752865
Growth 2yr High Est,0.05240334724338169
Growth 2yr Consensus Est,0.04777957704606728
Growth 5yr Low Est,0.04263320390335695
Growth 5yr High Est,0.04736591652852623
Growth 5yr Consensus Est,0.04499956021594159
Growth 5yr Actual/Est,0.04594869371843491
Growth 3yr Historic,0.02262870124788041
Price/Earnings (TTM),17.38164
Price/Sales (TTM),3.17678
Price/Book (MRQ),
Price/Cash Flow (TTM),16.31369
5yr Low,30.95
5yr High,74.38
5yr Avg Return,-0.049283333333333325
EPS Growth 5yr,-0.2876795
Revenue Growth 5yr,0.0020811
Dividend Growth 5yr,0.0883644
Short Int Current Month,14899941.0
Short Int Prev Month,18138186.0
Short Int Pct of Float,0.0083229
Days to Cover,1.92643
Float,1790.347
Shares Outstanding,1792.173
Institutions Holding Shares,2116.0
FCF Growth 5yr,0.13373839587125103
"Price/Earnings (TTM, GAAP)",17.38
"PEG Ratio (TTM, GAAP)",4.18
Gross Profit Margin (TTM),0.5543
Operating Profit Margin (TTM),0.46740000000000004
Net Profit Margin (TTM),0.1861
Annual Dividend Yield,0.084
Dividend Change %,0.0353
"Dividend Growth Rate, 3 Years",0.0717
EPS Growth (MRQ),-0.75
EPS Growth (TTM),0.7237
Revenue Growth (MRQ),0.0011
Revenue Growth (TTM),-0.0315
Return On Equity (TTM),
Return On Assets (TTM),0.1278
Return On Investment (TTM),0.1641
Revenue Per Employee (TTM),4206667.0
Total Debt/Total Capital (MRQ),1.1919
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),0.36
Interest Coverage (MRQ),1.19
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-31 00:00:00
theStreet since,2021-10-29 00:00:00
cfra since,2021-08-31 00:00:00
ford since,2022-10-14 00:00:00
marketEdge opinion since,
