,CAC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.36,11.43,Valuation,0.9063867016622922
Price/Sales (TTM),3.34,3.3,Valuation,1.0121212121212122
Price/Book (MRQ),1.48,1.46,Valuation,1.0136986301369864
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),,0.34240000000000004,Profitability,
Net Profit Margin (TTM),0.3284,0.2812,Profitability,1.1678520625889048
Annual Dividend Yield,0.0366,0.028700000000000003,Dividend,1.2752613240418118
Dividend Change %,0.06820000000000001,-0.0086,Dividend,-7.9302325581395365
"Dividend Growth Rate, 3 Years",0.08630000000000002,0.0734,Dividend,1.1757493188010901
EPS Growth (MRQ),-0.0487,-0.0335,Gowth rates,1.4537313432835821
EPS Growth (TTM),-0.1035,-0.09960000000000001,Gowth rates,1.039156626506024
Revenue Growth (MRQ),0.1137,0.5429,Gowth rates,0.20943083440780988
Revenue Growth (TTM),0.09949999999999999,0.2466,Gowth rates,0.4034874290348742
Return On Equity (TTM),0.1278,0.1135,Effectiveness,1.1259911894273127
Return On Assets (TTM),0.0113,0.0099,Effectiveness,1.1414141414141412
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0021,0.0009,Financial strength,2.333333333333333
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
