,CAC
% Above Low,0.0808
% Held by Institutions,0.6907
52-Wk Range,['40.46 - 52.16']
Annual Dividend $,1.6
Annual Dividend %,0.0366
Ask,45.25
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,23.8
Bid Size,100.0
Closing Price,43.73
Day Change $,0.57
Day Change %,0.0132
Day High,43.74
Day Low,43.26
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",4.22
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.228
Last (size),7.0
Last (time),12:59p ET 11/25/22
Market Cap,637.1M
"P/E Ratio (TTM, GAAP)",10.36
Prev Close,43.16
Short Interest,0.0308
Today's Open,43.26
Volume,11315.0
Volume 10-day Avg,38277.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.07349665924276172
Growth 1yr High Est,-0.07439824945295404
Growth 1yr Consensus Est,-0.07394745434785788
Growth 2yr Low Est,-0.022325252698303877
Growth 2yr High Est,-0.014740495884869476
Growth 2yr Consensus Est,-0.018532874291586676
Growth 5yr Low Est,0.051511468358369006
Growth 5yr High Est,0.05999086316867641
Growth 5yr Consensus Est,0.05575116576352271
Growth 5yr Actual/Est,0.044825029919479065
Growth 3yr Historic,0.058754416658090614
Price/Earnings (TTM),10.35559
Price/Sales (TTM),3.34302
Price/Book (MRQ),1.47765
Price/Cash Flow (TTM),9.53811
5yr Low,25.74
5yr High,52.16
5yr Avg Return,0.01753333333333333
EPS Growth 5yr,0.1231505
Revenue Growth 5yr,0.0275371
Dividend Growth 5yr,0.1200201
Short Int Current Month,435064.0
Short Int Prev Month,421474.0
Short Int Pct of Float,0.0307971
Days to Cover,14.23266
Float,14.13402
Shares Outstanding,14.56541
Institutions Holding Shares,186.0
FCF Growth 5yr,0.04233566871520533
"Price/Earnings (TTM, GAAP)",10.36
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),0.3284
Annual Dividend Yield,0.0366
Dividend Change %,0.06820000000000001
"Dividend Growth Rate, 3 Years",0.08630000000000002
EPS Growth (MRQ),-0.0487
EPS Growth (TTM),-0.1035
Revenue Growth (MRQ),0.1137
Revenue Growth (TTM),0.09949999999999999
Return On Equity (TTM),0.1278
Return On Assets (TTM),0.0113
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0021
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-06-17 00:00:00
ford since,2022-06-17 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2020-11-18 00:00:00
marketEdge opinion since,
