,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,39.0,37.08,31.3,,,,,
low,26.36,28.55,16.55,,,,,
change,-0.0722,-0.08539999999999999,-0.3801,,,,,
Date,,,,2021-12-31 00:00:00,2022-04-01 00:00:00,2022-07-01 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,573.0,145.0,127.0,122.0,Balance Sheet
Short Term Investments,,,,,215.0,135.0,67.0,Balance Sheet
Cash and Short Term Invs,,,,573.0,360.0,263.0,189.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,520.0,472.0,517.0,546.0,Balance Sheet
Prov. for Doubtful Accts,,,,-39.0,-38.0,-34.0,-34.0,Balance Sheet
"Total Receivables, Net",,,,481.0,434.0,482.0,511.0,Balance Sheet
Invent. - Finished Goods,,,,105.0,114.0,113.0,146.0,Balance Sheet
Invent. - Work In Progress,,,,34.0,45.0,40.0,44.0,Balance Sheet
Invent. - Raw Materials,,,,148.0,167.0,174.0,188.0,Balance Sheet
Total Inventory,,,,287.0,325.0,326.0,378.0,Balance Sheet
Prepaid Expenses,,,,137.0,137.0,124.0,124.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,150.0,139.0,Balance Sheet
Total Current Assets,,,,1478.0,1257.0,1346.0,1340.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,357.0,357.0,307.0,329.0,Balance Sheet
Accumulated Depreciation,,,,-256.0,-256.0,-222.0,-237.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,146.0,146.0,128.0,135.0,Balance Sheet
"Goodwill, Net",,,,1667.0,1810.0,1708.0,1712.0,Balance Sheet
Intangibles - Net,,,,616.0,697.0,643.0,671.0,Balance Sheet
Long Term Investments,,,,59.0,,,,Balance Sheet
Note Rcvble - Long Term,,,,242.0,243.0,245.0,249.0,Balance Sheet
Other Long Term Assets,,,,142.0,147.0,150.0,157.0,Balance Sheet
Total Assets,,,,4350.0,4300.0,4219.0,4264.0,Balance Sheet
Accounts Payable,,,,425.0,408.0,388.0,414.0,Balance Sheet
Accrued Expenses,,,,371.0,296.0,270.0,273.0,Balance Sheet
Notes Payable/ST Debt,,,,4.0,4.0,9.0,8.0,Balance Sheet
Customer Advances,,,,134.0,141.0,133.0,142.0,Balance Sheet
Discontinued Operations,,,,,,50.0,39.0,Balance Sheet
"Other Curr. Lblts, Total",,,,134.0,141.0,183.0,181.0,Balance Sheet
Total Current Liabilities,,,,933.0,848.0,850.0,875.0,Balance Sheet
Total Long Term Debt,,,,2584.0,2585.0,2599.0,2636.0,Balance Sheet
Total Debt,,,,2588.0,2589.0,2608.0,2644.0,Balance Sheet
Minority Interest,,,,4.0,4.0,3.0,3.0,Balance Sheet
"Other Liabilities, Total",,,,259.0,315.0,267.0,253.0,Balance Sheet
Total Liabilities,,,,3780.0,3752.0,3720.0,3766.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,2.0,6.0,13.0,19.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,387.0,583.0,661.0,707.0,Balance Sheet
Treasury Stock - Common,,,,,-207.0,-278.0,-288.0,Balance Sheet
Cum. Trans. Adjustment,,,,185.0,170.0,107.0,62.0,Balance Sheet
Other Equity,,,,0.0,0.0,0.0,0.0,Balance Sheet
Min. Pension Lblty Adj.,,,,-3.0,-3.0,-3.0,-3.0,Balance Sheet
"Other Equity, Total",,,,182.0,167.0,104.0,59.0,Balance Sheet
Total Equity,,,,570.0,548.0,499.0,497.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,4350.0,4300.0,4219.0,4264.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,169.0,161.0,159.0,158.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,8.0,11.0,12.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-04-01 00:00:00,2022-07-01 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,790.0,748.0,776.0,788.0,Income Statement
"Cost of Revenue, Total",,,,434.0,413.0,428.0,428.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,164.0,166.0,177.0,175.0,Income Statement
Research & Development,,,,32.0,35.0,35.0,35.0,Income Statement
Impair-Assets Held for Use,,,,0.0,,,,Income Statement
Other Unusual Expnse (In),,,,0.0,-196.0,80.0,66.0,Income Statement
Unusual Expense (Income),,,,0.0,-196.0,80.0,66.0,Income Statement
Total Operating Expense,,,,629.0,418.0,720.0,704.0,Income Statement
Total Operating Income,,,,161.0,331.0,57.0,84.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,-13.0,-13.0,-15.0,-18.0,Income Statement
"Other, Net",,,,0.0,0.0,0.0,1.0,Income Statement
Income Before Tax,,,,148.0,318.0,41.0,68.0,Income Statement
Income Tax - Total,,,,35.0,67.0,8.0,18.0,Income Statement
Income After Tax,,,,112.0,250.0,33.0,50.0,Income Statement
Net Inc Before Extra Items,,,,112.0,250.0,33.0,50.0,Income Statement
Total Net Income,,,,112.0,250.0,33.0,50.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,112.0,250.0,33.0,50.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,112.0,250.0,33.0,50.0,Income Statement
Basic/Primary Weighted Average Shares,,,,169.0,166.0,161.0,158.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,0.66,1.51,0.21,0.32,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,0.66,1.51,0.21,0.32,Income Statement
Diluted Weighted Average Shares,,,,170.0,167.0,161.0,159.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,0.66,1.5,0.21,0.32,Income Statement
Diluted EPS Incl. Extra. Items,,,,0.66,1.5,0.21,0.32,Income Statement
Div/Share-ComStockPrimIssue,,,,0.03,0.03,0.03,0.03,Income Statement
Gross Divid - Common Stock,,,,4.0,4.0,4.0,4.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,0.0,0.0,0.0,0.0,Income Statement
"Depreciat/Amort, Suppl",,,,29.0,29.0,29.0,29.0,Income Statement
Total Special Items,,,,0.0,-196.0,80.0,66.0,Income Statement
Normalzd Income Before Tax,,,,148.0,122.0,121.0,134.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,0.0,-41.0,15.0,17.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,35.0,26.0,23.0,35.0,Income Statement
Normalized Income After Tax,,,,112.0,96.0,98.0,99.0,Income Statement
Normalzd Inc Avail to Common,,,,112.0,96.0,98.0,99.0,Income Statement
Basic Normalized EPS,,,,0.66,0.58,0.61,0.62,Income Statement
Diluted Normalized EPS,,,,0.66,0.58,0.61,0.62,Income Statement
Date,,,,2021-12-31 00:00:00,2022-04-01 00:00:00,2022-07-01 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,413.0,250.0,284.0,334.0,Cash Flow
Depreciation/Depletion,,,,88.0,29.0,58.0,87.0,Cash Flow
Deferred Taxes,,,,-45.0,33.0,5.0,-17.0,Cash Flow
Unusual Items,,,,-3.0,-196.0,-116.0,-51.0,Cash Flow
Other Non-Cash Items,,,,39.0,7.0,15.0,22.0,Cash Flow
Non-Cash Items,,,,36.0,-189.0,-101.0,-29.0,Cash Flow
Accounts Receivable,,,,-4.0,,,,Cash Flow
Inventories,,,,-35.0,,,,Cash Flow
Prepaid Expenses,,,,-1.0,,,,Cash Flow
Other Assets,,,,,34.0,-32.0,-76.0,Cash Flow
Accounts Payable,,,,46.0,,,,Cash Flow
Accrued Expenses,,,,-17.0,,,,Cash Flow
Changes in Working Capital,,,,-11.0,-82.0,-197.0,-235.0,Cash Flow
Total Cash from Operations,,,,481.0,41.0,49.0,140.0,Cash Flow
Capital Expenditures,,,,-48.0,-13.0,-27.0,-43.0,Cash Flow
Acquisition of Business,,,,-956.0,-185.0,-187.0,-277.0,Cash Flow
Sale of Fixed Assets,,,,0.0,0.0,0.0,0.0,Cash Flow
Sale/Maturity of Investment,,,,7.0,,,5.0,Cash Flow
Purchase of Investments,,,,-11.0,-6.0,-7.0,-11.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,-960.0,-191.0,-194.0,-283.0,Cash Flow
Total Cash from Investing,,,,-1008.0,-203.0,-220.0,-326.0,Cash Flow
Financing Cash Flow Items,,,,-44.0,-3.0,-3.0,-4.0,Cash Flow
Total Cash Dividends Paid,,,,-13.0,-4.0,-8.0,-12.0,Cash Flow
"Common Stock, Net",,,,,-257.0,-271.0,-288.0,Cash Flow
Options Exercised,,,,8.0,0.0,1.0,1.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,8.0,-257.0,-271.0,-287.0,Cash Flow
"Short Term Debt, Net",,,,-7.0,0.0,5.0,4.0,Cash Flow
Long Term Debt Issued,,,,2187.0,0.0,144.0,235.0,Cash Flow
Long Term Debt Reduction,,,,-1405.0,0.0,-130.0,-185.0,Cash Flow
"Long Term Debt, Net",,,,781.0,0.0,14.0,50.0,Cash Flow
