,VNT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.29,21.62,Valuation,0.3371877890841813
Price/Sales (TTM),1.0,5.43,Valuation,0.1841620626151013
Price/Book (MRQ),6.22,5.49,Valuation,1.1329690346083787
"PEG Ratio (TTM, GAAP)",1.01,14.73,Valuation,0.06856754921928038
Gross Profit Margin (TTM),0.4511,0.33659999999999995,Profitability,1.3401663695781345
Operating Profit Margin (TTM),0.20379999999999998,-0.0824,Profitability,-2.4733009708737863
Net Profit Margin (TTM),0.1437,-0.1173,Profitability,-1.2250639386189257
Annual Dividend Yield,0.0051,0.0088,Dividend,0.5795454545454546
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),0.5282,0.1058,Gowth rates,4.992438563327032
EPS Growth (TTM),0.04820000000000001,-0.0147,Gowth rates,-3.278911564625851
Revenue Growth (MRQ),0.0149,0.1655,Gowth rates,0.09003021148036254
Revenue Growth (TTM),0.028900000000000002,0.1855,Gowth rates,0.15579514824797844
Return On Equity (TTM),0.9216,0.23850000000000002,Effectiveness,3.864150943396226
Return On Assets (TTM),0.1057,0.0752,Effectiveness,1.4055851063829787
Return On Investment (TTM),0.1335,0.1041,Effectiveness,1.282420749279539
Revenue Per Employee (TTM),365024.0,449465.0,Effectiveness,0.8121299767501363
Total Debt/Total Capital (MRQ),0.841,0.3575,Financial strength,2.3524475524475523
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0362,Financial strength,0.0
Quick Ratio (MRQ),1.1,1.53,Financial strength,0.7189542483660131
Interest Coverage (MRQ),8.39,15.46,Financial strength,0.5426908150064683
