,GKOS
% Above Low,0.414
% Held by Institutions,0.9196
52-Wk Range,['33.33 - 64.49']
Annual Dividend $,
Annual Dividend %,
Ask,47.53
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,46.73
Bid Size,100.0
Closing Price,47.13
Day Change $,-0.31
Day Change %,-0.006500000000000001
Day High,47.66
Day Low,47.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.9
Ex-dividend Date,No dividend
Historical Volatility,0.545
Last (size),22.0
Last (time),5:00p ET 11/25/22
Market Cap,2.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,47.44
Short Interest,0.0897
Today's Open,47.29
Volume,164908.0
Volume 10-day Avg,317269.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,1.4166666666666665
Growth 1yr High Est,1.6455696202531644
Growth 1yr Consensus Est,1.5311181434599155
Growth 2yr Low Est,0.7471264367816092
Growth 2yr High Est,0.5620192598873478
Growth 2yr Consensus Est,0.6545728483344785
Growth 5yr Low Est,0.7471264367816092
Growth 5yr High Est,0.5620192598873478
Growth 5yr Consensus Est,0.6545728483344785
Growth 5yr Actual/Est,-0.7406066582379935
Growth 3yr Historic,-1.0965922444183314
Price/Earnings (TTM),
Price/Sales (TTM),7.89208
Price/Book (MRQ),4.09522
Price/Cash Flow (TTM),
5yr Low,23.08
5yr High,99.0
5yr Avg Return,0.1918333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.2077854
Dividend Growth 5yr,
Short Int Current Month,4101055.0
Short Int Prev Month,4166265.0
Short Int Pct of Float,0.08970560000000001
Days to Cover,7.68443
Float,45.81925
Shares Outstanding,47.70328
Institutions Holding Shares,282.0
FCF Growth 5yr,-2.062588658603097
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7591
Operating Profit Margin (TTM),-0.23329999999999998
Net Profit Margin (TTM),-0.3145
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.39770000000000005
EPS Growth (TTM),-1.2392
Revenue Growth (MRQ),-0.0195
Revenue Growth (TTM),-0.0311
Return On Equity (TTM),-0.1559
Return On Assets (TTM),-0.08650000000000001
Return On Investment (TTM),-0.092
Revenue Per Employee (TTM),391850.0
Total Debt/Total Capital (MRQ),0.3918
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),6.84
Interest Coverage (MRQ),-7.9
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-05-27 00:00:00
researchTeam since,2021-05-07 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
