,GKOS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),7.89,9.8,Valuation,0.8051020408163264
Price/Book (MRQ),4.1,10.31,Valuation,0.39767216294859353
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.7591,0.6196,Profitability,1.2251452550032278
Operating Profit Margin (TTM),-0.23329999999999998,0.047,Profitability,-4.963829787234042
Net Profit Margin (TTM),-0.3145,0.009300000000000001,Profitability,-33.817204301075265
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.39770000000000005,-0.4858,Gowth rates,-0.8186496500617539
EPS Growth (TTM),-1.2392,-0.2029,Gowth rates,6.10744208969936
Revenue Growth (MRQ),-0.0195,0.1161,Gowth rates,-0.16795865633074936
Revenue Growth (TTM),-0.0311,0.18300000000000002,Gowth rates,-0.1699453551912568
Return On Equity (TTM),-0.1559,0.1068,Effectiveness,-1.4597378277153559
Return On Assets (TTM),-0.08650000000000001,0.0622,Effectiveness,-1.3906752411575565
Return On Investment (TTM),-0.092,0.0732,Effectiveness,-1.2568306010928962
Revenue Per Employee (TTM),391850.0,403586.0,Effectiveness,0.9709206959607122
Total Debt/Total Capital (MRQ),0.3918,0.3161,Financial strength,1.2394811768427711
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.0125,Financial strength,0.047999999999999994
Quick Ratio (MRQ),6.84,2.25,Financial strength,3.04
Interest Coverage (MRQ),-7.9,14.99,Financial strength,-0.5270180120080054
