,WERN
% Below High,0.12359999999999999
% Held by Institutions,0.8565999999999999
52-Wk Range,['35.84 - 48.79']
Annual Dividend $,0.52
Annual Dividend %,0.012
Ask,68.32
Ask Size,200.0
B/A Ratio,9.0
B/A Size,1800x200
Beta,0.8
Bid,42.0
Bid Size,1800.0
Closing Price,42.76
Day Change $,-0.43
Day Change %,-0.01
Day High,43.96
Day Low,42.61
Dividend Pay Date,2023-01-17 00:00:00
"EPS (TTM, GAAP)",3.94
Ex-dividend,2022-12-30 00:00:00
Ex-dividend Date,12/30/22
Historical Volatility,0.298
Last (size),479.0
Last (time),3:59p ET 11/28/22
Market Cap,2.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.96
Prev Close,43.19
Short Interest,0.0717
Today's Open,42.72
Volume,586215.0
Volume 10-day Avg,645978.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.13564668769716093
Growth 1yr High Est,0.12537313432835817
Growth 1yr Consensus Est,0.13050991101275955
Growth 2yr Low Est,-0.0293988783736418
Growth 2yr High Est,0.04677144780078385
Growth 2yr Consensus Est,0.008686284713571024
Growth 5yr Low Est,0.08099561981022926
Growth 5yr High Est,0.12129102901538333
Growth 5yr Consensus Est,0.1011433244128063
Growth 5yr Actual/Est,0.09466975441611591
Growth 3yr Historic,0.10393208510363322
Price/Earnings (TTM),10.95795
Price/Sales (TTM),0.85471
Price/Book (MRQ),1.96869
Price/Cash Flow (TTM),5.05687
5yr Low,27.27
5yr High,49.76
5yr Avg Return,0.04188333333333333
EPS Growth 5yr,0.2842011
Revenue Growth 5yr,0.0635941
Dividend Growth 5yr,0.1237027
Short Int Current Month,4197285.0
Short Int Prev Month,3838785.0
Short Int Pct of Float,0.0716753
Days to Cover,5.29708
Float,58.55968
Shares Outstanding,63.20205
Institutions Holding Shares,365.0
FCF Growth 5yr,-1.939414290502486
"Price/Earnings (TTM, GAAP)",10.96
"PEG Ratio (TTM, GAAP)",1.59
Gross Profit Margin (TTM),0.7998000000000001
Operating Profit Margin (TTM),0.1043
Net Profit Margin (TTM),0.08220000000000001
Annual Dividend Yield,0.012
Dividend Change %,0.19440000000000002
"Dividend Growth Rate, 3 Years",0.1035
EPS Growth (MRQ),-0.22719999999999999
EPS Growth (TTM),0.1095
Revenue Growth (MRQ),-0.010400000000000001
Revenue Growth (TTM),0.2334
Return On Equity (TTM),0.1915
Return On Assets (TTM),0.0983
Return On Investment (TTM),0.11170000000000001
Revenue Per Employee (TTM),236134.0
Total Debt/Total Capital (MRQ),0.287
Change in Debt/Total Capital Quarter over Quarter,0.0042
Quick Ratio (MRQ),2.37
Interest Coverage (MRQ),33.57
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2017-06-20 00:00:00
researchTeam since,2022-06-17 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-06-17 00:00:00
cfra since,
marketEdge opinion since,
