,WERN
Price/Earnings (TTM),10.95795
Price/Sales (TTM),0.85471
Price/Book (MRQ),1.96869
Price/Cash Flow (TTM),5.05687
5yr Low,27.27
5yr High,49.76
5yr Avg Return,0.04188333333333333
EPS Growth 5yr,0.2842011
Revenue Growth 5yr,0.0635941
Dividend Growth 5yr,0.1237027
Short Int Current Month,4197285.0
Short Int Prev Month,3838785.0
Short Int Pct of Float,0.0716753
Days to Cover,5.29708
Float,58.55968
Shares Outstanding,63.20205
Institutions Holding Shares,365.0
% Held by Institutions,0.8565689999999999
FCF Growth 5yr,-1.939414290502486
