,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,22.75,26.43,13.98,,,,,
low,15.25,12.47,3.7,,,,,
change,0.13119999999999998,-0.2948,-0.6594,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,273.0,269.0,261.0,249.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,573.0,593.0,603.0,613.0,Balance Sheet
Prov. for Doubtful Accts,,,,-18.0,-17.0,-19.0,-19.0,Balance Sheet
"Total Receivables, Net",,,,570.0,591.0,598.0,608.0,Balance Sheet
Prepaid Expenses,,,,110.0,104.0,87.0,95.0,Balance Sheet
"Other Curr. Assets, Total",,,,37.0,42.0,68.0,82.0,Balance Sheet
Total Current Assets,,,,990.0,1006.0,1014.0,1034.0,Balance Sheet
Buildings,,,,513.0,510.0,494.0,478.0,Balance Sheet
Land/Improvements,,,,21.0,21.0,20.0,20.0,Balance Sheet
Machinery/Equipment,,,,1672.0,1658.0,1639.0,1573.0,Balance Sheet
Construction in Progress,,,,12.0,12.0,11.0,12.0,Balance Sheet
Other Prop./Plant/Equip.,,,,184.0,175.0,160.0,155.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,2402.0,2376.0,2325.0,2238.0,Balance Sheet
Accumulated Depreciation,,,,-1413.0,-1427.0,-1424.0,-1392.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,989.0,948.0,900.0,846.0,Balance Sheet
"Goodwill, Net",,,,2707.0,2709.0,2694.0,2271.0,Balance Sheet
Intangibles - Gross,,,,2277.0,2276.0,2270.0,2220.0,Balance Sheet
Accum. Intangible Amort.,,,,-811.0,-852.0,-891.0,-929.0,Balance Sheet
Intangibles - Net,,,,1467.0,1424.0,1379.0,1291.0,Balance Sheet
Note Rcvble - Long Term,,,,13.0,11.0,11.0,13.0,Balance Sheet
Other Long Term Assets,,,,164.0,211.0,207.0,230.0,Balance Sheet
Total Assets,,,,6329.0,6311.0,6208.0,5688.0,Balance Sheet
Payable/Accrued,,,,370.0,390.0,388.0,409.0,Balance Sheet
Accrued Expenses,,,,193.0,156.0,170.0,182.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,136.0,129.0,125.0,110.0,Balance Sheet
Customer Advances,,,,99.0,111.0,106.0,88.0,Balance Sheet
Other Current Liabilities,,,,41.0,32.0,33.0,37.0,Balance Sheet
"Other Curr. Lblts, Total",,,,140.0,143.0,139.0,125.0,Balance Sheet
Total Current Liabilities,,,,837.0,818.0,823.0,826.0,Balance Sheet
Long Term Debt,,,,3374.0,3370.0,3356.0,3350.0,Balance Sheet
Capital Lease Obligations,,,,345.0,332.0,314.0,303.0,Balance Sheet
Total Long Term Debt,,,,3719.0,3702.0,3670.0,3654.0,Balance Sheet
Total Debt,,,,3855.0,3831.0,3796.0,3764.0,Balance Sheet
Deferred Income Tax,,,,206.0,223.0,205.0,187.0,Balance Sheet
"Other Liabilities, Total",,,,239.0,224.0,212.0,205.0,Balance Sheet
Total Liabilities,,,,5001.0,4967.0,4910.0,4872.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,2.0,2.0,2.0,2.0,Balance Sheet
Additional Paid-In Capital,,,,2500.0,2518.0,2543.0,2562.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-1182.0,-1220.0,-1261.0,-1772.0,Balance Sheet
Treasury Stock - Common,,,,,-4.0,-31.0,-31.0,Balance Sheet
Cum. Trans. Adjustment,,,,17.0,36.0,-6.0,-28.0,Balance Sheet
Other Comprehensive Income,,,,-10.0,13.0,51.0,83.0,Balance Sheet
"Other Equity, Total",,,,7.0,49.0,45.0,55.0,Balance Sheet
