,RXT
% Above Low,0.24190000000000003
% Held by Institutions,1.0321
52-Wk Range,['3.70 - 15.07']
Annual Dividend $,
Annual Dividend %,
Ask,4.6
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,
Bid,4.59
Bid Size,500.0
Day Change $,-0.165
Day Change %,-0.0347
Day High,4.77
Day Low,4.59
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.2
Ex-dividend Date,No dividend
Historical Volatility,0.8029999999999999
Last (size),200.0
Last (time),1:29p ET 11/28/22
Market Cap,970.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.76
Price,4.6
Short Interest,0.07490000000000001
Today's Open,4.67
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.45833333333333326
Growth 1yr High Est,-0.40816326530612246
Growth 1yr Consensus Est,-0.43324829931972786
Growth 2yr Low Est,-0.7580128205128205
Growth 2yr High Est,-0.5316678395496129
Growth 2yr Consensus Est,-0.6448403300312167
Growth 5yr Low Est,-0.4336119225359732
Growth 5yr High Est,-0.27944522636640867
Growth 5yr Consensus Est,-0.35652857445119096
Growth 5yr Actual/Est,-0.3693192012034392
Growth 3yr Historic,0.05622489959839361
Price/Earnings (TTM),
Price/Sales (TTM),0.32284
Price/Book (MRQ),1.23202
Price/Cash Flow (TTM),
5yr Low,3.7
5yr High,26.43
5yr Avg Return,-0.2743333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.0769275
Dividend Growth 5yr,
Short Int Current Month,13714070.0
Short Int Prev Month,13841302.0
Short Int Pct of Float,0.07492499999999999
Days to Cover,9.72564
Float,206.3651
Shares Outstanding,211.1099
Institutions Holding Shares,182.0
FCF Growth 5yr,0.3030603362721165
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2864
Operating Profit Margin (TTM),-0.1537
Net Profit Margin (TTM),-0.2164
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-11.526
EPS Growth (TTM),-2.286
Revenue Growth (MRQ),0.0199
Revenue Growth (TTM),0.055700000000000006
Return On Equity (TTM),-0.6162
Return On Assets (TTM),-0.1115
Return On Investment (TTM),-0.1295
Revenue Per Employee (TTM),471606.0
Total Debt/Total Capital (MRQ),0.8219
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.27
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-11-16 00:00:00
theStreet since,2021-11-16 00:00:00
ford since,2020-10-02 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
