,RXT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.11,Valuation,
Price/Sales (TTM),0.32,19.35,Valuation,0.016537467700258397
Price/Book (MRQ),1.23,19.03,Valuation,0.06463478717813978
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.2864,0.44520000000000004,Profitability,0.6433063791554356
Operating Profit Margin (TTM),-0.1537,0.3027,Profitability,-0.5077634621737693
Net Profit Margin (TTM),-0.2164,0.23600000000000002,Profitability,-0.9169491525423729
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),-11.526,-3.5569,Gowth rates,3.2404622002305374
EPS Growth (TTM),-2.286,0.15560000000000002,Gowth rates,-14.691516709511566
Revenue Growth (MRQ),0.0199,0.16460000000000002,Gowth rates,0.12089914945321992
Revenue Growth (TTM),0.055700000000000006,0.2273,Gowth rates,0.24505059392872858
Return On Equity (TTM),-0.6162,0.5459,Effectiveness,-1.1287781644989923
Return On Assets (TTM),-0.1115,0.1131,Effectiveness,-0.9858532272325375
Return On Investment (TTM),-0.1295,0.18910000000000002,Effectiveness,-0.6848228450555262
Revenue Per Employee (TTM),471606.0,686074.0,Effectiveness,0.6873981523858942
Total Debt/Total Capital (MRQ),0.8219,0.5613,Financial strength,1.4642793515054338
Change in Debt/Total Capital Quarter over Quarter,0.0009,0.0048,Financial strength,0.1875
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),0.27,27.21,Financial strength,0.009922822491730982
