,POSH
% Below High,0.1326
% Held by Institutions,0.7494
52-Wk Range,['8.97 - 20.52']
Annual Dividend $,
Annual Dividend %,
Ask,17.81
Ask Size,6700.0
B/A Ratio,1.671641791044776
B/A Size,11200x6700
Beta,
Bid,17.8
Bid Size,11200.0
Day Change $,0.0
Day Change %,0.0
Day High,17.81
Day Low,17.79
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.95
Ex-dividend Date,No dividend
Historical Volatility,0.751
Last (size),100.0
Last (time),11:17a ET 11/28/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,17.8
Price,17.8
Short Interest,0.0902
Today's Open,17.79
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-22 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.05555555555555536
Growth 2yr High Est,-0.3936170212765958
Growth 2yr Consensus Est,-0.16903073286052023
Growth 5yr Low Est,0.05555555555555536
Growth 5yr High Est,-0.3936170212765958
Growth 5yr Consensus Est,-0.16903073286052023
Growth 5yr Actual/Est,-0.3437435897435897
Growth 3yr Historic,-0.504
Price/Earnings (TTM),
Price/Sales (TTM),4.00507
Price/Book (MRQ),3.55669
Price/Cash Flow (TTM),
5yr Low,8.97
5yr High,104.98
5yr Avg Return,-0.4061
Short Int Current Month,4745207.0
Short Int Prev Month,4476359.0
Short Int Pct of Float,0.0902206
Days to Cover,3.45871
Float,53.4715
Shares Outstanding,79.21845
Institutions Holding Shares,178.0
FCF Growth 5yr,-1.1522628817048026
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6552
Operating Profit Margin (TTM),-0.2137
Net Profit Margin (TTM),-0.21030000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0227
EPS Growth (TTM),0.2884
Revenue Growth (MRQ),-0.0076
Revenue Growth (TTM),0.1334
Return On Equity (TTM),-0.1819
Return On Assets (TTM),-0.12060000000000001
Return On Investment (TTM),-0.1801
Revenue Per Employee (TTM),469435.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-07-29 00:00:00
theStreet since,2022-05-13 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-09 00:00:00
cfra since,
marketEdge opinion since,
