,POSH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,2519.53,Valuation,
Price/Sales (TTM),4.01,7.6,Valuation,0.5276315789473685
Price/Book (MRQ),3.56,10.0,Valuation,0.356
"PEG Ratio (TTM, GAAP)",,40.12,Valuation,
Gross Profit Margin (TTM),0.6552,0.4335,Profitability,1.5114186851211073
Operating Profit Margin (TTM),-0.2137,0.0117,Profitability,-18.264957264957264
Net Profit Margin (TTM),-0.21030000000000001,-0.0141,Profitability,14.914893617021278
Annual Dividend Yield,,0.0004,Dividend,
Dividend Change %,,0.0027,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),-0.0227,-0.26239999999999997,Gowth rates,0.08650914634146344
EPS Growth (TTM),0.2884,-0.6279,Gowth rates,-0.4593088071348941
Revenue Growth (MRQ),-0.0076,0.1585,Gowth rates,-0.04794952681388012
Revenue Growth (TTM),0.1334,0.12369999999999999,Gowth rates,1.078415521422797
Return On Equity (TTM),-0.1819,0.0635,Effectiveness,-2.8645669291338582
Return On Assets (TTM),-0.12060000000000001,-0.1317,Effectiveness,0.9157175398633257
Return On Investment (TTM),-0.1801,0.0197,Effectiveness,-9.142131979695433
Revenue Per Employee (TTM),469435.0,354479.0,Effectiveness,1.3242956564422717
Total Debt/Total Capital (MRQ),0.0,0.39840000000000003,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.4575,Financial strength,
Quick Ratio (MRQ),,0.68,Financial strength,
Interest Coverage (MRQ),,-0.6,Financial strength,
