,VLY
% Above Low,0.2318
% Held by Institutions,0.7014
52-Wk Range,['10.01 - 15.10']
Annual Dividend $,0.44
Annual Dividend %,0.0349
Ask,13.6
Ask Size,500.0
B/A Ratio,50.2
B/A Size,25100x500
Beta,1.1
Bid,12.33
Bid Size,25100.0
Closing Price,12.33
Day Change $,-0.27
Day Change %,-0.021400000000000002
Day High,12.54
Day Low,12.29
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",1.07
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.322
Last (size),2.0
Last (time),3:59p ET 11/28/22
Market Cap,6.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.83
Prev Close,12.6
Short Interest,0.0227
Today's Open,12.51
Volume,1494229.0
Volume 10-day Avg,1850241.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.12280701754385981
Growth 1yr High Est,0.11764705882352944
Growth 1yr Consensus Est,0.12022703818369462
Growth 2yr Low Est,0.1082785087719299
Growth 2yr High Est,0.16032728881026093
Growth 2yr Consensus Est,0.13430289879109542
Growth 5yr Low Est,0.1208059210526316
Growth 5yr High Est,0.14761736350500854
Growth 5yr Consensus Est,0.13421164227882007
Growth 5yr Actual/Est,0.1277232328492242
Growth 3yr Historic,0.06295289855072461
Price/Earnings (TTM),11.82799
Price/Sales (TTM),3.75887
Price/Book (MRQ),1.05209
Price/Cash Flow (TTM),10.77193
5yr Low,6.0
5yr High,15.1
5yr Avg Return,0.026516666666666674
EPS Growth 5yr,0.12270479999999999
Revenue Growth 5yr,0.1185816
Dividend Growth 5yr,0.0
Short Int Current Month,11305339.0
Short Int Prev Month,12594597.0
Short Int Pct of Float,0.022658
Days to Cover,4.1928
Float,499.302
Shares Outstanding,506.3567
Institutions Holding Shares,418.0
FCF Growth 5yr,0.2510776224872115
"Price/Earnings (TTM, GAAP)",11.83
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4082
Net Profit Margin (TTM),0.2983
Annual Dividend Yield,0.0349
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.8756
EPS Growth (TTM),-0.037700000000000004
Revenue Growth (MRQ),0.185
Revenue Growth (TTM),0.25730000000000003
Return On Equity (TTM),0.0925
Return On Assets (TTM),0.010400000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0021
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-01 00:00:00
cfra since,
marketEdge opinion since,
