,TJX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",28.25,19.03,Valuation,1.4844981607987386
Price/Sales (TTM),1.91,1.93,Valuation,0.9896373056994818
Price/Book (MRQ),16.61,92.12,Valuation,0.18030829353017802
"PEG Ratio (TTM, GAAP)",2.37,7.27,Valuation,0.3259972489683632
Gross Profit Margin (TTM),0.2792,0.34390000000000004,Profitability,0.8118639139284675
Operating Profit Margin (TTM),0.0932,0.11789999999999999,Profitability,0.7905004240882104
Net Profit Margin (TTM),0.069,0.0818,Profitability,0.8435207823960881
Annual Dividend Yield,0.0146,0.016200000000000003,Dividend,0.9012345679012345
Dividend Change %,-0.30670000000000003,0.2582,Dividend,-1.1878388845855927
"Dividend Growth Rate, 3 Years",-0.1115,0.09390000000000001,Dividend,-1.1874334398296058
EPS Growth (MRQ),0.31980000000000003,-0.10800000000000001,Gowth rates,-2.9611111111111112
EPS Growth (TTM),0.3155,0.0262,Gowth rates,12.041984732824426
Revenue Growth (MRQ),0.0273,0.0478,Gowth rates,0.5711297071129707
Revenue Growth (TTM),0.0796,0.0874,Gowth rates,0.9107551487414187
Return On Equity (TTM),0.5615,5.2054,Effectiveness,0.10786875168094671
Return On Assets (TTM),0.1162,0.1562,Effectiveness,0.7439180537772087
Return On Investment (TTM),0.18920000000000003,0.26,Effectiveness,0.7276923076923077
Revenue Per Employee (TTM),144912.0,410011.0,Effectiveness,0.3534344200521449
Total Debt/Total Capital (MRQ),0.3722,0.8926999999999999,Financial strength,0.4169373809790523
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.0016,Financial strength,0.37499999999999994
Quick Ratio (MRQ),0.41,0.39,Financial strength,1.051282051282051
Interest Coverage (MRQ),,13.36,Financial strength,
