,TJX
% Below High,0.013999999999999999
% Held by Institutions,0.9164
52-Wk Range,['53.69 - 81.17']
Annual Dividend $,1.18
Annual Dividend %,0.0146
Ask,80.55
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.9
Bid,79.0
Bid Size,100.0
Change Since Close,0.43| |(0.54%)
Closing Price,80.03
Day Change $,-1.0
Day Change %,-0.0123
Day High,80.92
Day Low,79.84
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",2.87
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.336
Last (size),2300.0
Last (time),4:10p ET 11/28/22
Last Trade,80.46
Market Cap,92.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.25
Prev Close,81.03
Short Interest,0.0095
Today's Open,79.99
Volume,5314741.0
Volume 10-day Avg,7484381.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,0.0620689655172415
Growth 1yr High Est,0.03960396039603964
Growth 1yr Consensus Est,0.05083646295664057
Growth 2yr Low Est,0.0781124048365428
Growth 2yr High Est,0.11504007543611505
Growth 2yr Consensus Est,0.09657624013632893
Growth 5yr Low Est,0.06683398019604919
Growth 5yr High Est,0.09229447380828304
Growth 5yr Consensus Est,0.07956422700216612
Growth 5yr Actual/Est,1.8847862479452313
Growth 3yr Historic,1.827413314002658
Price/Earnings (TTM),28.25274
Price/Sales (TTM),1.90948
Price/Book (MRQ),16.60814
Price/Cash Flow (TTM),22.00011
5yr Low,32.72
5yr High,81.17
5yr Avg Return,0.14603333333333335
EPS Growth 5yr,0.0932239
Revenue Growth 5yr,0.0790778
Dividend Growth 5yr,0.0099029
Short Int Current Month,10962629.0
Short Int Prev Month,11260072.0
Short Int Pct of Float,0.0094515
Days to Cover,2.02254
Float,1160.118
Shares Outstanding,1161.053
Institutions Holding Shares,2034.0
FCF Growth 5yr,-0.8956032169398317
"Price/Earnings (TTM, GAAP)",28.25
"PEG Ratio (TTM, GAAP)",2.37
Gross Profit Margin (TTM),0.2792
Operating Profit Margin (TTM),0.0932
Net Profit Margin (TTM),0.069
Annual Dividend Yield,0.0146
Dividend Change %,-0.30670000000000003
"Dividend Growth Rate, 3 Years",-0.1115
EPS Growth (MRQ),0.31980000000000003
EPS Growth (TTM),0.3155
Revenue Growth (MRQ),0.0273
Revenue Growth (TTM),0.0796
Return On Equity (TTM),0.5615
Return On Assets (TTM),0.1162
Return On Investment (TTM),0.18920000000000003
Revenue Per Employee (TTM),144912.0
Total Debt/Total Capital (MRQ),0.3722
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),0.41
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-06 00:00:00
theStreet since,2022-08-19 00:00:00
cfra since,2020-02-27 00:00:00
ford since,2021-06-25 00:00:00
marketEdge opinion since,
