,RGEN
% Above Low,0.2554
% Held by Institutions,0.9131
52-Wk Range,['137.21 - 299.49']
Annual Dividend $,
Annual Dividend %,
Ask,172.25
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,172.02
Bid Size,100.0
Day Change $,0.68
Day Change %,0.004
Day High,172.44
Day Low,169.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.89
Ex-dividend Date,No dividend
Historical Volatility,0.599
Last (size),100.0
Last (time),12:40p ET 11/28/22
Market Cap,9.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",59.32
Prev Close,171.58
Price,172.26
Short Interest,0.0588
Today's Open,169.67
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,2.0882352941176467
Growth 1yr High Est,2.0865384615384612
Growth 1yr Consensus Est,2.087386877828054
Growth 2yr Low Est,0.9679271708683472
Growth 2yr High Est,1.0417115983704768
Growth 2yr Consensus Est,1.004819384619412
Growth 5yr Low Est,0.4839635854341736
Growth 5yr High Est,0.5208557991852384
Growth 5yr Consensus Est,0.502409692309706
Growth 5yr Actual/Est,0.34480336050035343
Growth 3yr Historic,0.3491503823279524
Price/Earnings (TTM),59.31872
Price/Sales (TTM),11.88936
Price/Book (MRQ),5.19101
Price/Cash Flow (TTM),44.52897
5yr Low,29.56
5yr High,327.32
5yr Avg Return,0.3893666666666667
EPS Growth 5yr,0.4558461
Revenue Growth 5yr,0.45019640000000005
Dividend Growth 5yr,
Short Int Current Month,3251180.0
Short Int Prev Month,3116506.0
Short Int Pct of Float,0.0587752
Days to Cover,5.11624
Float,55.31056
Shares Outstanding,55.52444
Institutions Holding Shares,569.0
FCF Growth 5yr,-0.9703158854557753
"Price/Earnings (TTM, GAAP)",59.32
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5792
Operating Profit Margin (TTM),0.2661
Net Profit Margin (TTM),0.2076
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1979
EPS Growth (TTM),0.3815
Revenue Growth (MRQ),-0.0332
Revenue Growth (TTM),0.35200000000000004
Return On Equity (TTM),0.09369999999999999
Return On Assets (TTM),0.0707
Return On Investment (TTM),0.0844
Revenue Per Employee (TTM),432665.0
Total Debt/Total Capital (MRQ),0.1341
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),1.73
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-04-08 00:00:00
theStreet since,2018-03-14 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-08 00:00:00
cfra since,
marketEdge opinion since,
