,RGEN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",59.32,83.95,Valuation,0.7066110780226325
Price/Sales (TTM),11.89,6.06,Valuation,1.9620462046204623
Price/Book (MRQ),5.19,6.22,Valuation,0.8344051446945339
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.5792,0.5095000000000001,Profitability,1.136800785083415
Operating Profit Margin (TTM),0.2661,0.0332,Profitability,8.015060240963855
Net Profit Margin (TTM),0.2076,-0.0454,Profitability,-4.572687224669603
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),-0.1979,-0.5094,Gowth rates,0.38849627012171184
EPS Growth (TTM),0.3815,-0.2377,Gowth rates,-1.6049642406394615
Revenue Growth (MRQ),-0.0332,0.1691,Gowth rates,-0.19633353045535187
Revenue Growth (TTM),0.35200000000000004,0.1222,Gowth rates,2.880523731587562
Return On Equity (TTM),0.09369999999999999,1.1042,Effectiveness,0.08485781561311355
Return On Assets (TTM),0.0707,0.0644,Effectiveness,1.0978260869565217
Return On Investment (TTM),0.0844,0.0802,Effectiveness,1.0523690773067333
Revenue Per Employee (TTM),432665.0,335561.0,Effectiveness,1.289378086249594
Total Debt/Total Capital (MRQ),0.1341,0.3893,Financial strength,0.34446442332391475
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.0252,Financial strength,0.011904761904761904
Quick Ratio (MRQ),1.73,1.51,Financial strength,1.1456953642384107
Interest Coverage (MRQ),,33.07,Financial strength,
