,NBIX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",210.37,471.78,Valuation,0.4459069905464412
Price/Sales (TTM),8.46,45.03,Valuation,0.18787475016655564
Price/Book (MRQ),7.6,12.61,Valuation,0.6026962727993656
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9859000000000001,0.5874,Profitability,1.678413346952673
Operating Profit Margin (TTM),0.028300000000000002,-4.7459,Profitability,-0.005963041783434123
Net Profit Margin (TTM),0.04190000000000001,-4.5467,Profitability,-0.009215474959861
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),4.914,-0.0014000000000000002,Gowth rates,-3509.999999999999
EPS Growth (TTM),-0.8729000000000001,0.027200000000000002,Gowth rates,-32.091911764705884
Revenue Growth (MRQ),0.0256,1.3963999999999999,Gowth rates,0.018332855915210545
Revenue Growth (TTM),0.2986,0.9747,Gowth rates,0.3063506720016415
Return On Equity (TTM),0.0403,0.1967,Effectiveness,0.2048805287239451
Return On Assets (TTM),0.027999999999999997,0.0016,Effectiveness,17.499999999999996
Return On Investment (TTM),0.0337,0.0219,Effectiveness,1.538812785388128
Revenue Per Employee (TTM),1543000.0,1476201.0,Effectiveness,1.045250612890792
Total Debt/Total Capital (MRQ),0.0987,0.4675,Financial strength,0.2111229946524064
Change in Debt/Total Capital Quarter over Quarter,-0.005200000000000001,0.0036,Financial strength,-1.4444444444444446
Quick Ratio (MRQ),2.41,2.06,Financial strength,1.1699029126213594
Interest Coverage (MRQ),,2.69,Financial strength,
