,NBIX
% Below High,0.0305
% Held by Institutions,0.9490000000000001
52-Wk Range,['71.88 - 125.99']
Annual Dividend $,
Annual Dividend %,
Ask,126.27
Ask Size,100.0
Ask close,129.44
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,95.0
Bid Size,100.0
Bid close,114.15
Change Since Close,-0.01| |(-0.01%)
Closing Price,122.15
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.58
Ex-dividend Date,No dividend
Historical Volatility,0.34700000000000003
Last (size),4.0
Last (time),1:00p ET 11/25/22
Last Trade,122.14
Market Cap,11.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",210.37
Prev Close,122.15
Short Interest,0.029900000000000003
Today's Open,
Volume,4.0
Volume 10-day Avg,783295.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,1.0214285714285718
Growth 2yr High Est,0.6459016393442623
Growth 2yr Consensus Est,0.833665105386417
Growth 5yr Low Est,1.0214285714285718
Growth 5yr High Est,0.6459016393442623
Growth 5yr Consensus Est,0.833665105386417
Growth 5yr Actual/Est,2.7223346521303164
Growth 3yr Historic,2.221955128205128
Price/Earnings (TTM),210.3713
Price/Sales (TTM),8.45598
Price/Book (MRQ),7.59978
Price/Cash Flow (TTM),162.1936
5yr Low,64.72
5yr High,136.27
5yr Avg Return,0.13201666666666667
EPS Growth 5yr,
Revenue Growth 5yr,1.3750129999999998
Dividend Growth 5yr,
Short Int Current Month,2838509.0
Short Int Prev Month,2632266.0
Short Int Pct of Float,0.0298997
Days to Cover,2.68848
Float,94.93445
Shares Outstanding,96.13439
Institutions Holding Shares,681.0
FCF Growth 5yr,-0.8856047218116184
"Price/Earnings (TTM, GAAP)",210.37
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9859000000000001
Operating Profit Margin (TTM),0.028300000000000002
Net Profit Margin (TTM),0.04190000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),4.914
EPS Growth (TTM),-0.8729000000000001
Revenue Growth (MRQ),0.0256
Revenue Growth (TTM),0.2986
Return On Equity (TTM),0.0403
Return On Assets (TTM),0.027999999999999997
Return On Investment (TTM),0.0337
Revenue Per Employee (TTM),1543000.0
Total Debt/Total Capital (MRQ),0.0987
Change in Debt/Total Capital Quarter over Quarter,-0.005200000000000001
Quick Ratio (MRQ),2.41
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-04 00:00:00
theStreet since,2022-11-02 00:00:00
cfra since,2021-11-02 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
