,LUNG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),4.16,9.8,Valuation,0.42448979591836733
Price/Book (MRQ),1.32,10.31,Valuation,0.1280310378273521
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.7495,0.6196,Profitability,1.209651387992253
Operating Profit Margin (TTM),-1.0853,0.047,Profitability,-23.091489361702127
Net Profit Margin (TTM),-1.1098000000000001,0.009300000000000001,Profitability,-119.33333333333333
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.0368,-0.4858,Gowth rates,-0.07575133799917662
EPS Growth (TTM),-0.2462,-0.2029,Gowth rates,1.2134056185312962
Revenue Growth (MRQ),-0.032100000000000004,0.1161,Gowth rates,-0.2764857881136951
Revenue Growth (TTM),0.1663,0.18300000000000002,Gowth rates,0.908743169398907
Return On Equity (TTM),-0.3147,0.1068,Effectiveness,-2.9466292134831455
Return On Assets (TTM),-0.25680000000000003,0.0622,Effectiveness,-4.128617363344052
Return On Investment (TTM),-0.2846,0.0732,Effectiveness,-3.887978142076503
Revenue Per Employee (TTM),205316.0,403586.0,Effectiveness,0.5087292423424004
Total Debt/Total Capital (MRQ),0.09609999999999999,0.3161,Financial strength,0.30401771591268584
Change in Debt/Total Capital Quarter over Quarter,0.0022,0.0125,Financial strength,0.176
Quick Ratio (MRQ),7.73,2.25,Financial strength,3.4355555555555557
Interest Coverage (MRQ),-66.66,14.99,Financial strength,-4.446964643095397
