,LUNG
% Above Low,0.4201
% Held by Institutions,0.9262999999999999
52-Wk Range,['4.07 - 36.37']
Annual Dividend $,
Annual Dividend %,
Ask,9.99
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,
Bid,4.0
Bid Size,100.0
Closing Price,5.78
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.56
Ex-dividend Date,No dividend
Historical Volatility,1.21
Last (size),5700.0
Last (time),1:00p ET 11/25/22
Market Cap,216.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,5.78
Short Interest,0.0699
Today's Open,
Volume,223712.0
Volume 10-day Avg,820213.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.1942446043165469
Growth 1yr High Est,0.18045112781954886
Growth 1yr Consensus Est,0.18734786606804787
Growth 2yr Low Est,0.1573632660136952
Growth 2yr High Est,-0.07537953163162686
Growth 2yr Consensus Est,0.040991867191034176
Growth 5yr Low Est,0.1573632660136952
Growth 5yr High Est,-0.07537953163162686
Growth 5yr Consensus Est,0.040991867191034176
Growth 5yr Actual/Est,-0.13249205605042455
Growth 3yr Historic,-0.19092827004219406
Price/Earnings (TTM),
Price/Sales (TTM),4.16258
Price/Book (MRQ),1.32258
Price/Cash Flow (TTM),
5yr Low,4.07
5yr High,69.48
5yr Avg Return,-0.20956666666666668
Short Int Current Month,2429272.0
Short Int Prev Month,3254294.0
Short Int Pct of Float,0.0699138
Days to Cover,1.45976
Float,36.02868
Shares Outstanding,37.4092
Institutions Holding Shares,156.0
FCF Growth 5yr,0.13649108223332448
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7495
Operating Profit Margin (TTM),-1.0853
Net Profit Margin (TTM),-1.1098000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0368
EPS Growth (TTM),-0.2462
Revenue Growth (MRQ),-0.032100000000000004
Revenue Growth (TTM),0.1663
Return On Equity (TTM),-0.3147
Return On Assets (TTM),-0.25680000000000003
Return On Investment (TTM),-0.2846
Revenue Per Employee (TTM),205316.0
Total Debt/Total Capital (MRQ),0.09609999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0022
Quick Ratio (MRQ),7.73
Interest Coverage (MRQ),-66.66
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-11-02 00:00:00
theStreet since,2021-11-02 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
