,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,69.48,68.76,36.26,,,,,
low,37.64,28.87,4.07,,,,,
change,0.7255,-0.5309,-0.8233,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,,141239.0,126922.0,117258.0,107308.0,Balance Sheet
Cash & Equivalents,,,,831.0,250.0,2192.0,2849.0,Balance Sheet
Short Term Investments,,,,37971.0,42910.0,42636.0,46742.0,Balance Sheet
Cash and Short Term Invs,,,,180041.0,170082.0,162086.0,156899.0,Balance Sheet
"Trade Accts Recvble, Net",,,,6562.0,6810.0,7521.0,7221.0,Balance Sheet
Other Receivables,,,,362.0,277.0,25.0,398.0,Balance Sheet
"Total Receivables, Net",,,,6924.0,7087.0,7546.0,7619.0,Balance Sheet
Invent. - Finished Goods,,,,12029.0,13802.0,14652.0,,Balance Sheet
Invent. - Work In Progress,,,,518.0,750.0,784.0,,Balance Sheet
Invent. - Raw Materials,,,,3738.0,3752.0,3776.0,,Balance Sheet
Total Inventory,,,,16285.0,18304.0,19212.0,15568.0,Balance Sheet
Prepaid Expenses,,,,4174.0,4319.0,3706.0,2611.0,Balance Sheet
Restricted Cash - Current,,,,231.0,231.0,231.0,231.0,Balance Sheet
Other Current Assets,,,,347.0,702.0,0.0,183.0,Balance Sheet
"Other Curr. Assets, Total",,,,578.0,933.0,231.0,414.0,Balance Sheet
Total Current Assets,,,,208002.0,200725.0,192781.0,183111.0,Balance Sheet
Buildings,,,,2277.0,2277.0,2277.0,2276.0,Balance Sheet
Machinery/Equipment,,,,3196.0,3438.0,3579.0,3758.0,Balance Sheet
Construction in Progress,,,,1332.0,1516.0,1677.0,1827.0,Balance Sheet
Other Prop./Plant/Equip.,,,,8327.0,7775.0,7249.0,6668.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,15132.0,15006.0,14782.0,14529.0,Balance Sheet
Accumulated Depreciation,,,,-2243.0,-2570.0,-2863.0,-3201.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,12889.0,12436.0,11919.0,11328.0,Balance Sheet
"Goodwill, Net",,,,2333.0,2333.0,2333.0,2333.0,Balance Sheet
Intangibles - Gross,,,,1849.0,1849.0,1849.0,1849.0,Balance Sheet
Accum. Intangible Amort.,,,,-1572.0,-1602.0,-1633.0,-1664.0,Balance Sheet
Intangibles - Net,,,,277.0,247.0,216.0,185.0,Balance Sheet
Long Term Investments,,,,10941.0,6379.0,4684.0,0.0,Balance Sheet
Other Long Term Assets,,,,731.0,729.0,796.0,5246.0,Balance Sheet
Total Assets,,,,235173.0,222849.0,212729.0,202203.0,Balance Sheet
Accounts Payable,,,,1582.0,2803.0,2599.0,2648.0,Balance Sheet
Accrued Expenses,,,,14345.0,12844.0,13645.0,13211.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,91.0,798.0,2921.0,5043.0,Balance Sheet
Customer Advances,,,,163.0,132.0,131.0,106.0,Balance Sheet
Income Taxes Payable,,,,147.0,143.0,0.0,0.0,Balance Sheet
Other Current Liabilities,,,,1222.0,995.0,1150.0,678.0,Balance Sheet
"Other Curr. Lblts, Total",,,,1532.0,1270.0,1281.0,784.0,Balance Sheet
Total Current Liabilities,,,,17550.0,17715.0,20446.0,21686.0,Balance Sheet
Total Long Term Debt,,,,17324.0,16629.0,14460.0,12340.0,Balance Sheet
Total Debt,,,,17415.0,17427.0,17381.0,17383.0,Balance Sheet
Deferred Income Tax,,,,37.0,53.0,47.0,51.0,Balance Sheet
"Other Liabilities, Total",,,,7023.0,6307.0,5594.0,4644.0,Balance Sheet
Total Liabilities,,,,41934.0,40704.0,40547.0,38721.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,37.0,37.0,37.0,37.0,Balance Sheet
Additional Paid-In Capital,,,,482885.0,487888.0,492651.0,498083.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-291395.0,-307223.0,-321863.0,-336035.0,Balance Sheet
"Other Equity, Total",,,,1712.0,1443.0,1357.0,1397.0,Balance Sheet
Total Equity,,,,193239.0,182145.0,172182.0,163482.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,235173.0,222849.0,212729.0,202203.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,36932.0,37098.0,37266.0,37408.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,13708.0,10785.0,13950.0,13502.0,Income Statement
"Cost of Revenue, Total",,,,3457.0,2674.0,3532.0,3350.0,Income Statement
Selling/Gen/Admin Expense,,,,16456.0,17300.0,17597.0,16251.0,Income Statement
Labor & Related Expense,,,,2453.0,2945.0,3638.0,3466.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,18909.0,20245.0,21235.0,19717.0,Income Statement
Research & Development,,,,3708.0,3534.0,3594.0,4366.0,Income Statement
Total Operating Expense,,,,26074.0,26453.0,28361.0,27433.0,Income Statement
Total Operating Income,,,,-12366.0,-15668.0,-14411.0,-13931.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-199.0,-198.0,-223.0,-286.0,Income Statement
"Inter Income, Non-Operating",,,,94.0,105.0,199.0,477.0,Income Statement
"Invest Income, Non-Operat",,,,-400.0,,-200.0,-400.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,-306.0,105.0,-1.0,77.0,Income Statement
OtherNon-OperatInc (Expnse),,,,17.0,0.0,35.0,-32.0,Income Statement
"Other, Net",,,,17.0,0.0,35.0,-32.0,Income Statement
Income Before Tax,,,,-12854.0,-15761.0,-14600.0,-14172.0,Income Statement
Income Tax - Total,,,,152.0,67.0,40.0,0.0,Income Statement
Income After Tax,,,,-13006.0,-15828.0,-14640.0,-14172.0,Income Statement
Net Inc Before Extra Items,,,,-13006.0,-15828.0,-14640.0,-14172.0,Income Statement
Total Net Income,,,,-13006.0,-15828.0,-14640.0,-14172.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,-13006.0,-15828.0,-14640.0,-14172.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-13006.0,-15828.0,-14640.0,-14172.0,Income Statement
Basic/Primary Weighted Average Shares,,,,36643.0,36805.0,37003.0,37190.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.35,-0.43,-0.4,-0.38,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.35,-0.43,-0.4,-0.38,Income Statement
Diluted Weighted Average Shares,,,,36643.0,36805.0,37003.0,37190.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.35,-0.43,-0.4,-0.38,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.35,-0.43,-0.4,-0.38,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,199.0,198.0,223.0,286.0,Income Statement
"Depreciat/Amort, Suppl",,,,374.0,300.0,376.0,383.0,Income Statement
Normalzd Income Before Tax,,,,-12854.0,-15761.0,-14600.0,-14172.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,152.0,67.0,40.0,0.0,Income Statement
Normalized Income After Tax,,,,-13006.0,-15828.0,-14640.0,-14172.0,Income Statement
Normalzd Inc Avail to Common,,,,-13006.0,-15828.0,-14640.0,-14172.0,Income Statement
Basic Normalized EPS,,,,-0.35,-0.43,-0.4,-0.38,Income Statement
Diluted Normalized EPS,,,,-0.35,-0.43,-0.4,-0.38,Income Statement
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,-48661.0,-15828.0,-30468.0,-44640.0,Cash Flow
Depreciation/Depletion,,,,867.0,368.0,744.0,1127.0,Cash Flow
Unusual Items,,,,1193.0,46.0,112.0,322.0,Cash Flow
Other Non-Cash Items,,,,13059.0,4166.0,9174.0,14112.0,Cash Flow
Non-Cash Items,,,,14252.0,4212.0,9286.0,14434.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,322.0,29.0,228.0,337.0,Cash Flow
"Cash Interest Pd, Suppl",,,,722.0,178.0,375.0,628.0,Cash Flow
Accounts Receivable,,,,-2432.0,-277.0,-1073.0,-906.0,Cash Flow
Inventories,,,,-6458.0,-2021.0,-3030.0,-4174.0,Cash Flow
Prepaid Expenses,,,,-1214.0,-406.0,1065.0,1798.0,Cash Flow
Other Assets,,,,-221.0,17.0,6.0,0.0,Cash Flow
Accounts Payable,,,,87.0,1261.0,1062.0,1077.0,Cash Flow
Accrued Expenses,,,,2283.0,-2320.0,-2003.0,-3683.0,Cash Flow
Changes in Working Capital,,,,-7846.0,-3778.0,-4152.0,-6198.0,Cash Flow
Total Cash from Operations,,,,-41388.0,-15026.0,-24590.0,-35277.0,Cash Flow
Capital Expenditures,,,,-3671.0,-564.0,-863.0,-1142.0,Cash Flow
Sale/Maturity of Investment,,,,10000.0,4250.0,19280.0,34530.0,Cash Flow
Purchase of Investments,,,,-52584.0,-9308.0,-21959.0,-36886.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,-42584.0,-5058.0,-2679.0,-2356.0,Cash Flow
Total Cash from Investing,,,,-46255.0,-5622.0,-3542.0,-3498.0,Cash Flow
Financing Cash Flow Items,,,,-41.0,0.0,0.0,0.0,Cash Flow
Sale/Issuance of Common,,,,2652.0,1108.0,1108.0,1942.0,Cash Flow
Repurch/Retirement Common,,,,-26.0,0.0,0.0,0.0,Cash Flow
"Common Stock, Net",,,,2626.0,1108.0,1108.0,1942.0,Cash Flow
Options Exercised,,,,1871.0,207.0,382.0,454.0,Cash Flow
Warrants Converted,,,,0.0,,,,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,4497.0,1315.0,1490.0,2396.0,Cash Flow
Short Term Debt Issued,,,,0.0,,,,Cash Flow
Short Term Debt Reduction,,,,0.0,,,,Cash Flow
"Short Term Debt, Net",,,,0.0,,,,Cash Flow
Long Term Debt Issued,,,,0.0,,,,Cash Flow
Long Term Debt Reduction,,,,0.0,,-44.0,-44.0,Cash Flow
"Long Term Debt, Net",,,,0.0,,-44.0,-44.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,0.0,,-44.0,-44.0,Cash Flow
Total Cash From Financing,,,,4456.0,1315.0,1446.0,2352.0,Cash Flow
Foreign Exchange Effects,,,,106.0,21.0,153.0,345.0,Cash Flow
