,FWRD
% Below High,0.1199
% Held by Institutions,0.9991
52-Wk Range,['84.04 - 125.71']
Annual Dividend $,0.96
Annual Dividend %,0.0087
Ask,177.37
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.2
Bid,107.76
Bid Size,300.0
Closing Price,110.64
Day Change $,-0.75
Day Change %,-0.0067
Day High,111.95
Day Low,110.58
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",6.95
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.37700000000000006
Last (size),13.0
Last (time),1:00p ET 11/25/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.92
Prev Close,111.39
Short Interest,0.0199
Today's Open,110.69
Volume,65688.0
Volume 10-day Avg,180372.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,1.4193548387096775
Growth 1yr High Est,1.4
Growth 1yr Consensus Est,1.4096774193548387
Growth 2yr Low Est,0.6230107526881721
Growth 2yr High Est,0.696031746031746
Growth 2yr Consensus Est,0.659521249359959
Growth 5yr Low Est,0.31150537634408604
Growth 5yr High Est,0.348015873015873
Growth 5yr Consensus Est,0.3297606246799795
Growth 5yr Actual/Est,1.0468706452442296
Growth 3yr Historic,0.887531328320802
Price/Earnings (TTM),15.92206
Price/Sales (TTM),1.50701
Price/Book (MRQ),4.3092
Price/Cash Flow (TTM),12.52265
5yr Low,39.59
5yr High,125.71
5yr Avg Return,0.14243333333333333
EPS Growth 5yr,0.3619647
Revenue Growth 5yr,0.1109112
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,524585.0
Short Int Prev Month,607553.0
Short Int Pct of Float,0.0199035
Days to Cover,3.11508
Float,26.37946
Shares Outstanding,26.5897
Institutions Holding Shares,314.0
FCF Growth 5yr,0.41973548338594086
"Price/Earnings (TTM, GAAP)",15.92
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.46840000000000004
Operating Profit Margin (TTM),0.13140000000000002
Net Profit Margin (TTM),0.0965
Annual Dividend Yield,0.0087
Dividend Change %,0.12
"Dividend Growth Rate, 3 Years",0.10060000000000001
EPS Growth (MRQ),-0.0601
EPS Growth (TTM),1.0501
Revenue Growth (MRQ),-0.0101
Revenue Growth (TTM),0.2571
Return On Equity (TTM),0.3027
Return On Assets (TTM),0.167
Return On Investment (TTM),0.19640000000000002
Revenue Per Employee (TTM),483800.0
Total Debt/Total Capital (MRQ),0.1558
Change in Debt/Total Capital Quarter over Quarter,-0.003
Quick Ratio (MRQ),
Interest Coverage (MRQ),46.42
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-08-12 00:00:00
researchTeam since,2022-11-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
