,NXGN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",68.4,-5.17,Valuation,-13.230174081237912
Price/Sales (TTM),2.24,11.27,Valuation,0.1987577639751553
Price/Book (MRQ),3.11,5.79,Valuation,0.5371329879101899
"PEG Ratio (TTM, GAAP)",15.15,0.15,Valuation,101.0
Gross Profit Margin (TTM),0.4907,0.6652,Profitability,0.7376728803367408
Operating Profit Margin (TTM),0.0347,-0.46950000000000003,Profitability,-0.0739084132055378
Net Profit Margin (TTM),0.033100000000000004,-0.4687,Profitability,-0.07062086622573076
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),10.844100000000001,-0.6163000000000001,Gowth rates,-17.595489209800423
EPS Growth (TTM),5.9392,-0.35350000000000004,Gowth rates,-16.8011315417256
Revenue Growth (MRQ),0.0401,0.24050000000000002,Gowth rates,0.16673596673596672
Revenue Growth (TTM),0.0558,0.3728,Gowth rates,0.14967811158798283
Return On Equity (TTM),0.0463,-0.09480000000000001,Effectiveness,-0.4883966244725738
Return On Assets (TTM),0.0322,-0.1218,Effectiveness,-0.26436781609195403
Return On Investment (TTM),0.044000000000000004,-0.049,Effectiveness,-0.8979591836734695
Revenue Per Employee (TTM),231158.0,454654.0,Effectiveness,0.5084261878263471
Total Debt/Total Capital (MRQ),0.0,0.2084,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.009000000000000001,Financial strength,
Quick Ratio (MRQ),,0.38,Financial strength,
Interest Coverage (MRQ),41.49,-7.93,Financial strength,-5.23203026481715
