,NXGN
% Below High,0.0755
% Held by Institutions,0.7706000000000001
52-Wk Range,['15.32 - 21.99']
Annual Dividend $,
Annual Dividend %,
Ask,20.99
Ask Size,2400.0
Ask close,24.96
B/A Ratio,0.08333333333333333
B/A Size,200x2400
Beta,1.0
Bid,20.25
Bid Size,200.0
Bid close,15.68
Change Since Close,-0.03| |(-0.15%)
Closing Price,20.33
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.3
Ex-dividend Date,No dividend
Historical Volatility,0.324
Last (size),3.0
Last (time),1:00p ET 11/25/22
Last Trade,20.3
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",68.4
Prev Close,20.33
Short Interest,0.0794
Today's Open,
Volume,5.0
Volume 10-day Avg,445748.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.04081632653061229
Growth 1yr High Est,-0.010000000000000009
Growth 1yr Consensus Est,-0.02540816326530615
Growth 2yr Low Est,0.01682587928788537
Growth 2yr High Est,0.0657070707070706
Growth 2yr Consensus Est,0.041266474997477987
Growth 5yr Low Est,0.06280123751628308
Growth 5yr High Est,0.07962224283652852
Growth 5yr Consensus Est,0.0712117401764058
Growth 5yr Actual/Est,0.06840289835969168
Growth 3yr Historic,0.04518072289156627
Price/Earnings (TTM),68.39591
Price/Sales (TTM),2.23945
Price/Book (MRQ),3.11064
Price/Cash Flow (TTM),23.30765
5yr Low,5.1
5yr High,23.8
5yr Avg Return,0.06251666666666668
EPS Growth 5yr,-0.39486289999999996
Revenue Growth 5yr,0.0319301
Dividend Growth 5yr,
Short Int Current Month,4342825.0
Short Int Prev Month,2717778.0
Short Int Pct of Float,0.0793856
Days to Cover,6.93723
Float,54.99154
Shares Outstanding,67.6048
Institutions Holding Shares,276.0
FCF Growth 5yr,-1.0081203627852349
"Price/Earnings (TTM, GAAP)",68.4
"PEG Ratio (TTM, GAAP)",15.15
Gross Profit Margin (TTM),0.4907
Operating Profit Margin (TTM),0.0347
Net Profit Margin (TTM),0.033100000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),10.844100000000001
EPS Growth (TTM),5.9392
Revenue Growth (MRQ),0.0401
Revenue Growth (TTM),0.0558
Return On Equity (TTM),0.0463
Return On Assets (TTM),0.0322
Return On Investment (TTM),0.044000000000000004
Revenue Per Employee (TTM),231158.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),41.49
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2018-03-29 00:00:00
theStreet since,2022-10-27 00:00:00
cfra since,2018-01-20 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
