,AMRC
% Above Low,0.5932000000000001
% Held by Institutions,0.9494
52-Wk Range,['40.73 - 93.34']
Annual Dividend $,
Annual Dividend %,
Ask,65.34
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,
Bid Size,
Closing Price,64.89
Day Change $,1.26
Day Change %,0.019799999999999998
Day High,65.67
Day Low,63.33
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.97
Ex-dividend Date,No dividend
Historical Volatility,0.716
Last (size),8.0
Last (time),5:00p ET 11/25/22
Market Cap,3.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",32.88
Prev Close,63.63
Short Interest,0.1056
Today's Open,63.57
Volume,64566.0
Volume 10-day Avg,277680.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.1685393258426966
Growth 2yr High Est,0.2097560975609758
Growth 2yr Consensus Est,0.0206083858591396
Growth 5yr Low Est,-0.1685393258426966
Growth 5yr High Est,0.2097560975609758
Growth 5yr Consensus Est,0.0206083858591396
Growth 5yr Actual/Est,0.2504327931975909
Growth 3yr Historic,0.1753369409842761
Price/Earnings (TTM),32.877
Price/Sales (TTM),1.76503
Price/Book (MRQ),4.22305
Price/Cash Flow (TTM),20.74075
5yr Low,7.65
5yr High,101.86
5yr Avg Return,0.5351833333333333
EPS Growth 5yr,0.390612
Revenue Growth 5yr,0.1329705
Dividend Growth 5yr,
Short Int Current Month,3341399.0
Short Int Prev Month,3352461.0
Short Int Pct of Float,0.10561899999999999
Days to Cover,8.13555
Float,31.66636
Shares Outstanding,51.91419
Institutions Holding Shares,313.0
FCF Growth 5yr,0.11170432373251453
"Price/Earnings (TTM, GAAP)",32.88
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1575
Operating Profit Margin (TTM),0.0748
Net Profit Margin (TTM),0.05740000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1519
EPS Growth (TTM),0.5397
Revenue Growth (MRQ),-0.23570000000000002
Revenue Growth (TTM),0.7131000000000001
Return On Equity (TTM),0.1433
Return On Assets (TTM),0.0437
Return On Investment (TTM),0.05940000000000001
Revenue Per Employee (TTM),1500462.0
Total Debt/Total Capital (MRQ),0.4852
Change in Debt/Total Capital Quarter over Quarter,0.0032
Quick Ratio (MRQ),1.26
Interest Coverage (MRQ),5.39
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam since,2021-05-07 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-03-02 00:00:00
theStreet since,
