,NEE
% Below High,0.0895
% Held by Institutions,0.7609
52-Wk Range,['67.22 - 93.73']
Annual Dividend $,1.7
Annual Dividend %,0.0199
Ask,85.17
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,84.2
Bid Size,100.0
Change Since Close,-0.59| |(-0.69%)
Closing Price,85.34
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.94
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.312
Last (size),4.0
Last (time),5:00p ET 11/25/22
Last Trade,84.75
Market Cap,169.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",44.07
Prev Close,85.34
Short Interest,0.0092
Today's Open,
Volume,220.0
Volume 10-day Avg,6415601.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.15040650406504064
Growth 1yr High Est,0.0984848484848484
Growth 1yr Consensus Est,0.12444567627494452
Growth 2yr Low Est,0.09993823436467586
Growth 2yr High Est,0.09579414838035527
Growth 2yr Consensus Est,0.09786619137251557
Growth 5yr Low Est,-0.10917219582500437
Growth 5yr High Est,-0.10229646291900224
Growth 5yr Consensus Est,-0.1057343293720033
Growth 5yr Actual/Est,0.10195504739414735
Growth 3yr Historic,0.052289815447710164
Price/Earnings (TTM),44.06647
Price/Sales (TTM),8.54847
Price/Book (MRQ),4.38972
Price/Cash Flow (TTM),22.53016
5yr Low,36.28
5yr High,93.73
5yr Avg Return,0.15076666666666666
EPS Growth 5yr,0.030407899999999998
Revenue Growth 5yr,0.0112806
Dividend Growth 5yr,0.1209863
Short Int Current Month,18273563.0
Short Int Prev Month,16882157.0
Short Int Pct of Float,0.0092168
Days to Cover,2.74521
Float,1983.261
Shares Outstanding,1987.164
Institutions Holding Shares,2925.0
FCF Growth 5yr,-0.6291931577684838
"Price/Earnings (TTM, GAAP)",44.07
"PEG Ratio (TTM, GAAP)",4.69
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1709
Net Profit Margin (TTM),0.1478
Annual Dividend Yield,0.0199
Dividend Change %,0.1
"Dividend Growth Rate, 3 Years",0.1153
EPS Growth (MRQ),0.22530000000000003
EPS Growth (TTM),0.5584
Revenue Growth (MRQ),0.2964
Revenue Growth (TTM),0.20829999999999999
Return On Equity (TTM),0.1017
Return On Assets (TTM),0.0198
Return On Investment (TTM),0.025400000000000002
Revenue Per Employee (TTM),1322533.0
Total Debt/Total Capital (MRQ),0.5810000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.4
Interest Coverage (MRQ),11.02
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-07-12 00:00:00
theStreet since,2022-07-25 00:00:00
cfra since,2022-06-21 00:00:00
ford since,2022-11-18 00:00:00
marketEdge opinion since,
