,CFG
% Above Low,0.2834
% Held by Institutions,0.9042
52-Wk Range,['32.66 - 57.00']
Annual Dividend $,1.68
Annual Dividend %,0.0401
Ask,45.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,38.5
Bid Size,100.0
Closing Price,41.91
Day Change $,0.35
Day Change %,0.0084
Day High,42.09
Day Low,41.75
Dividend Pay Date,2022-11-16 00:00:00
"EPS (TTM, GAAP)",4.0
Ex-dividend,2022-11-01 00:00:00
Ex-dividend Date,11/01/22
Historical Volatility,0.363
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,20.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.48
Prev Close,41.56
Short Interest,0.015
Today's Open,41.75
Volume,1304218.0
Volume 10-day Avg,3213458.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-17 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.19367588932806312
Growth 1yr High Est,-0.15760869565217384
Growth 1yr Consensus Est,-0.17564229249011848
Growth 2yr Low Est,-0.06987716035030606
Growth 2yr High Est,0.017969845722300093
Growth 2yr Consensus Est,-0.02595365731400298
Growth 5yr Low Est,0.24113624975681966
Growth 5yr High Est,0.26147412014503857
Growth 5yr Consensus Est,0.25130518495092913
Growth 5yr Actual/Est,0.23848027858041443
Growth 3yr Historic,0.22675037241966373
Price/Earnings (TTM),10.4754
Price/Sales (TTM),2.73708
Price/Book (MRQ),0.98338
Price/Cash Flow (TTM),8.40061
5yr Low,14.12
5yr High,57.0
5yr Avg Return,0.041766666666666674
EPS Growth 5yr,0.21269020000000002
Revenue Growth 5yr,0.026034799999999997
Dividend Growth 5yr,0.2766544
Short Int Current Month,7357987.0
Short Int Prev Month,8958084.0
Short Int Pct of Float,0.0150103
Days to Cover,1.69926
Float,487.1382
Shares Outstanding,492.491
Institutions Holding Shares,1028.0
FCF Growth 5yr,-3.0881308159179195
"Price/Earnings (TTM, GAAP)",10.48
"PEG Ratio (TTM, GAAP)",5.11
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.33299999999999996
Net Profit Margin (TTM),0.2586
Annual Dividend Yield,0.0401
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.16760000000000003
EPS Growth (MRQ),0.8249
EPS Growth (TTM),-0.19710000000000003
Revenue Growth (MRQ),0.2109
Revenue Growth (TTM),0.227
Return On Equity (TTM),0.0864
Return On Assets (TTM),0.0095
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-21 00:00:00
cfra since,2018-05-09 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-11-06 00:00:00
