,CFG
Price/Earnings (TTM),10.4754
Price/Sales (TTM),2.73708
Price/Book (MRQ),0.98338
Price/Cash Flow (TTM),8.40061
5yr Low,14.12
5yr High,57.0
5yr Avg Return,0.041766666666666674
EPS Growth 5yr,0.21269020000000002
Revenue Growth 5yr,0.026034799999999997
Dividend Growth 5yr,0.2766544
Short Int Current Month,7357987.0
Short Int Prev Month,8958084.0
Short Int Pct of Float,0.0150103
Days to Cover,1.69926
Float,487.1382
Shares Outstanding,492.491
Institutions Holding Shares,1028.0
% Held by Institutions,0.9041849999999999
FCF Growth 5yr,-3.0881308159179195
