,PFGC
% Below High,0.022400000000000003
% Held by Institutions,1.0103
52-Wk Range,['38.23 - 59.87']
Annual Dividend $,
Annual Dividend %,
Ask,58.6
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,58.53
Bid Size,200.0
Day Change $,0.12
Day Change %,0.0021
Day High,58.68
Day Low,57.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.31
Ex-dividend Date,No dividend
Historical Volatility,0.469
Last (size),130.0
Last (time),10:37a ET 11/28/22
Market Cap,9.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",44.52
Prev Close,58.41
Price,58.53
Short Interest,0.0192
Today's Open,57.81
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,1.0114285714285716
Growth 1yr High Est,0.5632183908045978
Growth 1yr Consensus Est,0.7873234811165847
Growth 2yr Low Est,0.4304301948051949
Growth 2yr High Est,0.43969743069641654
Growth 2yr Consensus Est,0.43506381275080575
Growth 5yr Low Est,0.8650784632034633
Growth 5yr High Est,0.5681898955225527
Growth 5yr Consensus Est,0.716634179363008
Growth 5yr Actual/Est,0.6072314072314072
Growth 3yr Historic,0.46362433862433866
Price/Earnings (TTM),44.51507
Price/Sales (TTM),0.16464
Price/Book (MRQ),2.64508
Price/Cash Flow (TTM),13.15517
5yr Low,7.41
5yr High,59.89
5yr Avg Return,0.14486666666666667
EPS Growth 5yr,-0.0447079
Revenue Growth 5yr,0.2487323
Dividend Growth 5yr,
Short Int Current Month,2898190.0
Short Int Prev Month,3962304.0
Short Int Pct of Float,0.019174
Days to Cover,2.05337
Float,152.4545
Shares Outstanding,155.6729
Institutions Holding Shares,431.0
FCF Growth 5yr,1.5699222115075537
"Price/Earnings (TTM, GAAP)",44.52
"PEG Ratio (TTM, GAAP)",1.77
Gross Profit Margin (TTM),0.10300000000000001
Operating Profit Margin (TTM),0.0085
Net Profit Margin (TTM),0.0037
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2511
EPS Growth (TTM),2.8333
Revenue Growth (MRQ),0.0089
Revenue Growth (TTM),0.6369
Return On Equity (TTM),0.062400000000000004
Return On Assets (TTM),0.0171
Return On Investment (TTM),0.024100000000000003
Revenue Per Employee (TTM),1577917.0
Total Debt/Total Capital (MRQ),0.5477000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),0.71
Interest Coverage (MRQ),3.93
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-11-10 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-02-09 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
