,PFGC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",44.52,32.14,Valuation,1.3851897946484133
Price/Sales (TTM),0.16,0.72,Valuation,0.22222222222222224
Price/Book (MRQ),2.65,8.68,Valuation,0.3052995391705069
"PEG Ratio (TTM, GAAP)",1.77,0.86,Valuation,2.058139534883721
Gross Profit Margin (TTM),0.10300000000000001,0.20010000000000003,Profitability,0.5147426286856571
Operating Profit Margin (TTM),0.0085,0.033,Profitability,0.25757575757575757
Net Profit Margin (TTM),0.0037,0.0192,Profitability,0.19270833333333337
Annual Dividend Yield,,0.0138,Dividend,
Dividend Change %,,0.0572,Dividend,
"Dividend Growth Rate, 3 Years",,0.053899999999999997,Dividend,
EPS Growth (MRQ),0.2511,-0.6058,Gowth rates,-0.4144932320897986
EPS Growth (TTM),2.8333,0.3755,Gowth rates,7.545406125166444
Revenue Growth (MRQ),0.0089,0.1126,Gowth rates,0.07904085257548844
Revenue Growth (TTM),0.6369,0.10740000000000001,Gowth rates,5.9301675977653625
Return On Equity (TTM),0.062400000000000004,0.2335,Effectiveness,0.26723768736616704
Return On Assets (TTM),0.0171,0.0572,Effectiveness,0.29895104895104896
Return On Investment (TTM),0.024100000000000003,0.1033,Effectiveness,0.23330106485963217
Revenue Per Employee (TTM),1577917.0,518753.0,Effectiveness,3.041750119999306
Total Debt/Total Capital (MRQ),0.5477000000000001,0.3837,Financial strength,1.4274172530622884
Change in Debt/Total Capital Quarter over Quarter,-0.0004,0.0003,Financial strength,-1.3333333333333335
Quick Ratio (MRQ),0.71,0.36,Financial strength,1.972222222222222
Interest Coverage (MRQ),3.93,5.73,Financial strength,0.6858638743455497
