,RSG
% Below High,0.083
% Held by Institutions,0.9423999999999999
52-Wk Range,['113.57 - 149.17']
Annual Dividend $,1.98
Annual Dividend %,0.014499999999999999
Ask,136.81
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,136.74
Bid Size,100.0
Day Change $,-0.0851
Day Change %,-0.0006
Day High,138.02
Day Low,136.2
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",4.58
Ex-dividend,2022-12-30 00:00:00
Ex-dividend Date,12/30/22
Historical Volatility,0.23199999999999998
Last (size),777.0
Last (time),1:20p ET 11/28/22
Market Cap,43.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",29.88
Prev Close,136.88
Price,136.79
Short Interest,0.0062
Today's Open,136.37
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.11735941320293408
Growth 1yr High Est,0.1536643026004727
Growth 1yr Consensus Est,0.1355118579017034
Growth 2yr Low Est,0.04555060375682807
Growth 2yr High Est,0.1352337906444987
Growth 2yr Consensus Est,0.09039219720066338
Growth 5yr Low Est,0.08546643337688498
Growth 5yr High Est,0.13048671780745646
Growth 5yr Consensus Est,0.10797657559217072
Growth 5yr Actual/Est,0.10905309535927743
Growth 3yr Historic,0.059304144519948865
Price/Earnings (TTM),29.87935
Price/Sales (TTM),3.34448
Price/Book (MRQ),4.55791
Price/Cash Flow (TTM),15.58486
5yr Low,60.26
5yr High,149.17
5yr Avg Return,0.14901666666666666
EPS Growth 5yr,0.1782976
Revenue Growth 5yr,0.0376847
Dividend Growth 5yr,0.07726530000000001
Short Int Current Month,1939759.0
Short Int Prev Month,1850245.0
Short Int Pct of Float,0.006154199999999999
Days to Cover,1.31533
Float,315.199
Shares Outstanding,316.0009
Institutions Holding Shares,1281.0
FCF Growth 5yr,0.43597007969704854
"Price/Earnings (TTM, GAAP)",29.88
"PEG Ratio (TTM, GAAP)",2.83
Gross Profit Margin (TTM),0.3947
Operating Profit Margin (TTM),0.1791
Net Profit Margin (TTM),0.1124
Annual Dividend Yield,0.014499999999999999
Dividend Change %,-0.1429
"Dividend Growth Rate, 3 Years",0.0787
EPS Growth (MRQ),0.121
EPS Growth (TTM),0.2078
Revenue Growth (MRQ),0.054000000000000006
Revenue Growth (TTM),0.1847
Return On Equity (TTM),0.1583
Return On Assets (TTM),0.055
Return On Investment (TTM),0.061399999999999996
Revenue Per Employee (TTM),369514.0
Total Debt/Total Capital (MRQ),0.5508
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),0.66
Interest Coverage (MRQ),4.32
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2010-04-22 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-28 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
