,OZK
% Below High,0.0989
% Held by Institutions,0.7748999999999999
52-Wk Range,['34.79 - 51.39']
Annual Dividend $,1.32
Annual Dividend %,0.027999999999999997
Ask,46.43
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.3
Bid,46.24
Bid Size,200.0
Day Change $,-0.771
Day Change %,-0.016399999999999998
Day High,46.83
Day Low,46.3
Dividend Pay Date,2022-10-21 00:00:00
"EPS (TTM, GAAP)",4.37
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.325
Last (size),300.0
Last (time),9:55a ET 11/28/22
Market Cap,5.4B
"P/E Ratio (TTM, GAAP)",10.78
Prev Close,47.08
Price,46.31
Short Interest,0.0334
Today's Open,46.71
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.04952830188679247
Growth 1yr High Est,0.05034324942791746
Growth 1yr Consensus Est,0.049935775657354964
Growth 2yr Low Est,0.07195516217935127
Growth 2yr High Est,0.18965964214315256
Growth 2yr Consensus Est,0.13080740216125192
Growth 5yr Low Est,0.1101366024964035
Growth 5yr High Est,0.1758904271321824
Growth 5yr Consensus Est,0.14301351481429295
Growth 5yr Actual/Est,0.20727526870505386
Growth 3yr Historic,0.1656811477607938
Price/Earnings (TTM),10.78204
Price/Sales (TTM),5.08034
Price/Book (MRQ),1.31991
Price/Cash Flow (TTM),13.83213
5yr Low,14.2
5yr High,53.7
5yr Avg Return,0.05725
EPS Growth 5yr,0.1161588
Revenue Growth 5yr,0.10087600000000001
Dividend Growth 5yr,0.12444839999999999
Short Int Current Month,4038203.0
Short Int Prev Month,4774945.0
Short Int Pct of Float,0.0333933
Days to Cover,5.37364
Float,127.5343
Shares Outstanding,128.7119
Institutions Holding Shares,467.0
FCF Growth 5yr,0.08998617804106374
"Price/Earnings (TTM, GAAP)",10.78
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),0.462
Annual Dividend Yield,0.027999999999999997
Dividend Change %,0.051
"Dividend Growth Rate, 3 Years",0.1252
EPS Growth (MRQ),-0.0146
EPS Growth (TTM),0.0318
Revenue Growth (MRQ),0.1485
Revenue Growth (TTM),0.0784
Return On Equity (TTM),0.12300000000000001
Return On Assets (TTM),0.021
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0025
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-09-30 00:00:00
theStreet since,2021-01-06 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-30 00:00:00
cfra since,
marketEdge opinion since,
