,CNDT
% Above Low,0.2523
% Held by Institutions,0.7898999999999999
52-Wk Range,['3.29 - 6.32']
Annual Dividend $,
Annual Dividend %,
Ask,4.22
Ask Size,200.0
B/A Ratio,7.5
B/A Size,1500x200
Beta,1.7
Bid,4.0
Bid Size,1500.0
Closing Price,4.12
Day Change $,0.08
Day Change %,0.019799999999999998
Day High,4.19
Day Low,4.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.44
Ex-dividend Date,No dividend
Historical Volatility,0.485
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,889.6M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.31
Prev Close,4.04
Short Interest,0.015700000000000002
Today's Open,4.04
Volume,456498.0
Volume 10-day Avg,893278.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.5970149253731343
Growth 1yr High Est,-0.6056338028169014
Growth 1yr Consensus Est,-0.6013243640950179
Growth 2yr Low Est,-0.3170259812050857
Growth 2yr High Est,-0.2849597585513079
Growth 2yr Consensus Est,-0.3009928698781968
Growth 5yr Low Est,-0.13741084006490845
Growth 5yr High Est,-0.11321502271827691
Growth 5yr Consensus Est,-0.12531293139159272
Growth 5yr Actual/Est,-0.12536109773712079
Growth 3yr Historic,0.020161290322580683
Price/Earnings (TTM),9.31094
Price/Sales (TTM),0.22694
Price/Book (MRQ),0.73724
Price/Cash Flow (TTM),2.49885
5yr Low,1.54
5yr High,23.39
5yr Avg Return,-0.1764
EPS Growth 5yr,
Revenue Growth 5yr,-0.0836623
Dividend Growth 5yr,
Short Int Current Month,3216344.0
Short Int Prev Month,4245400.0
Short Int Pct of Float,0.0157114
Days to Cover,2.55662
Float,204.7554
Shares Outstanding,215.9202
Institutions Holding Shares,289.0
FCF Growth 5yr,-0.31888597513597516
"Price/Earnings (TTM, GAAP)",9.31
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.22469999999999998
Operating Profit Margin (TTM),0.0663
Net Profit Margin (TTM),0.028300000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),5.2588
EPS Growth (TTM),10.6131
Revenue Growth (MRQ),0.05280000000000001
Revenue Growth (TTM),-0.0547
Return On Equity (TTM),0.08460000000000001
Return On Assets (TTM),0.027700000000000002
Return On Investment (TTM),0.0364
Revenue Per Employee (TTM),65333.0
Total Debt/Total Capital (MRQ),0.4919
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.27
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2019-02-19 00:00:00
ford since,2022-08-05 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-05-25 00:00:00
