,GRMN
% Above Low,0.19260000000000002
% Held by Institutions,0.5416
52-Wk Range,['76.37 - 140.93']
Annual Dividend $,2.92
Annual Dividend %,0.0321
Ask,100.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,81.0
Bid Size,100.0
Closing Price,91.08
Day Change $,0.43
Day Change %,0.004699999999999999
Day High,91.53
Day Low,90.92
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",5.0
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.314
Last (size),29.0
Last (time),5:00p ET 11/25/22
Market Cap,17.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.22
Prev Close,90.65
Short Interest,0.013300000000000001
Today's Open,91.06
Volume,261868.0
Volume 10-day Avg,778412.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.12499999999999989
Growth 1yr High Est,-0.1333333333333332
Growth 1yr Consensus Est,-0.12916666666666654
Growth 2yr Low Est,-0.039030612244897955
Growth 2yr High Est,0.012228796844181489
Growth 2yr Consensus Est,-0.013400907700358233
Growth 5yr Low Est,-0.039030612244897955
Growth 5yr High Est,0.012228796844181489
Growth 5yr Consensus Est,-0.013400907700358233
Growth 5yr Actual/Est,0.05556171672954116
Growth 3yr Historic,0.07183797490490973
Price/Earnings (TTM),18.22267
Price/Sales (TTM),3.52981
Price/Book (MRQ),2.97775
Price/Cash Flow (TTM),15.45031
5yr Low,57.01
5yr High,178.81
5yr Avg Return,0.10123333333333333
EPS Growth 5yr,0.1544118
Revenue Growth 5yr,0.10345449999999999
Dividend Growth 5yr,0.0513183
Short Int Current Month,2041384.0
Short Int Prev Month,2313282.0
Short Int Pct of Float,0.0133317
Days to Cover,2.63356
Float,153.3823
Shares Outstanding,191.6639
Institutions Holding Shares,916.0
FCF Growth 5yr,0.005750063889598718
"Price/Earnings (TTM, GAAP)",18.22
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.573
Operating Profit Margin (TTM),0.2175
Net Profit Margin (TTM),0.1954
Annual Dividend Yield,0.032100000000000004
Dividend Change %,0.0917
"Dividend Growth Rate, 3 Years",0.0765
EPS Growth (MRQ),-0.1809
EPS Growth (TTM),-0.1471
Revenue Growth (MRQ),-0.0809
Revenue Growth (TTM),0.0006
Return On Equity (TTM),0.16469999999999999
Return On Assets (TTM),0.1272
Return On Investment (TTM),0.1561
Revenue Per Employee (TTM),264466.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.69
Interest Coverage (MRQ),12.34
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-07-28 00:00:00
researchTeam since,2021-02-05 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2016-10-26 00:00:00
ford since,2021-03-19 00:00:00
marketEdge opinion since,
