,GRMN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",18.22,7.14,Valuation,2.5518207282913163
Price/Sales (TTM),3.53,7.33,Valuation,0.48158253751705316
Price/Book (MRQ),2.98,2.07,Valuation,1.4396135265700485
"PEG Ratio (TTM, GAAP)",,0.43,Valuation,
Gross Profit Margin (TTM),0.573,0.3091,Profitability,1.8537690067939177
Operating Profit Margin (TTM),0.2175,0.1507,Profitability,1.4432647644326477
Net Profit Margin (TTM),0.1954,0.11320000000000001,Profitability,1.7261484098939928
Annual Dividend Yield,0.032100000000000004,0.016399999999999998,Dividend,1.9573170731707321
Dividend Change %,0.0917,0.2639,Dividend,0.3474801061007957
"Dividend Growth Rate, 3 Years",0.0765,0.1757,Dividend,0.43540125213431985
EPS Growth (MRQ),-0.1809,-0.0688,Gowth rates,2.629360465116279
EPS Growth (TTM),-0.1471,0.16670000000000001,Gowth rates,-0.8824235152969406
Revenue Growth (MRQ),-0.0809,0.1173,Gowth rates,-0.6896845694799659
Revenue Growth (TTM),0.0006,0.149,Gowth rates,0.004026845637583892
Return On Equity (TTM),0.16469999999999999,0.38439999999999996,Effectiveness,0.4284599375650364
Return On Assets (TTM),0.1272,0.135,Effectiveness,0.9422222222222222
Return On Investment (TTM),0.1561,0.1699,Effectiveness,0.9187757504414361
Revenue Per Employee (TTM),264466.0,1633986.0,Effectiveness,0.16185328393266527
Total Debt/Total Capital (MRQ),0.0,0.29309999999999997,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,-0.0005,Financial strength,
Quick Ratio (MRQ),1.69,0.53,Financial strength,3.188679245283019
Interest Coverage (MRQ),12.34,51.09,Financial strength,0.2415345468780583
