,RUN
% Above Low,0.8482
% Held by Institutions,0.9002
52-Wk Range,['16.80 - 48.50']
Annual Dividend $,
Annual Dividend %,
Ask,31.05
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,2.2
Bid,31.04
Bid Size,200.0
Day Change $,-0.64
Day Change %,-0.0202
Day High,31.53
Day Low,30.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.29
Ex-dividend Date,No dividend
Historical Volatility,0.918
Last (size),13.0
Last (time),1:22p ET 11/28/22
Market Cap,6.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",109.94
Prev Close,31.69
Price,31.05
Short Interest,0.1518
Today's Open,31.22
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.06306306306306286
Growth 2yr High Est,1.35
Growth 2yr Consensus Est,0.7065315315315315
Growth 5yr Low Est,0.06306306306306286
Growth 5yr High Est,1.35
Growth 5yr Consensus Est,0.7065315315315315
Growth 5yr Actual/Est,-2.351425461331122
Growth 3yr Historic,-1.6699236298292903
Price/Earnings (TTM),109.9431
Price/Sales (TTM),3.14471
Price/Book (MRQ),1.01964
Price/Cash Flow (TTM),
5yr Low,5.08
5yr High,100.93
5yr Avg Return,0.7538333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.2753798
Dividend Growth 5yr,
Short Int Current Month,31051838.0
Short Int Prev Month,31672606.0
Short Int Pct of Float,0.15175929999999999
Days to Cover,2.64158
Float,204.6441
Shares Outstanding,213.1037
Institutions Holding Shares,653.0
FCF Growth 5yr,0.25883801235847637
"Price/Earnings (TTM, GAAP)",109.94
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.13240000000000002
Operating Profit Margin (TTM),-0.3171
Net Profit Margin (TTM),-0.3926
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),17.1979
EPS Growth (TTM),1.2661
Revenue Growth (MRQ),0.081
Revenue Growth (TTM),0.4363
Return On Equity (TTM),0.011200000000000002
Return On Assets (TTM),-0.0487
Return On Investment (TTM),-0.0571
Revenue Per Employee (TTM),188658.0
Total Debt/Total Capital (MRQ),0.4988
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002
Quick Ratio (MRQ),1.19
Interest Coverage (MRQ),-1.16
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-20 00:00:00
theStreet since,2021-12-21 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-05-06 00:00:00
ford since,2022-10-14 00:00:00
marketEdge opinion since,
