,DYN
% Below High,0.318
% Held by Institutions,0.8636
52-Wk Range,['4.30 - 15.69']
Annual Dividend $,
Annual Dividend %,
Ask,13.1
Ask Size,500.0
B/A Ratio,6.0
B/A Size,3000x500
Beta,
Bid,6.0
Bid Size,3000.0
Closing Price,10.7
Day Change $,0.2
Day Change %,0.019
Day High,10.93
Day Low,10.27
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.51
Ex-dividend Date,No dividend
Historical Volatility,0.833
Last (size),15.0
Last (time),12:59p ET 11/25/22
Market Cap,559.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,10.5
Short Interest,0.0553
Today's Open,10.5
Volume,57855.0
Volume 10-day Avg,188855.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.17725752508361192
Growth 1yr High Est,0.1618705035971224
Growth 1yr Consensus Est,0.16956401434036716
Growth 2yr Low Est,0.23209467163271513
Growth 2yr High Est,0.037591598547787264
Growth 2yr Consensus Est,0.1348431350902512
Growth 5yr Low Est,0.23209467163271513
Growth 5yr High Est,0.037591598547787264
Growth 5yr Consensus Est,0.1348431350902512
Growth 5yr Actual/Est,-0.013113382294759187
Growth 3yr Historic,-0.09685230024213072
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),2.22389
Price/Cash Flow (TTM),
5yr Low,4.3
5yr High,32.32
5yr Avg Return,-0.19853333333333334
Short Int Current Month,2848701.0
Short Int Prev Month,2777991.0
Short Int Pct of Float,0.0553106
Days to Cover,15.89021
Float,51.52924
Shares Outstanding,52.12689
Institutions Holding Shares,154.0
FCF Growth 5yr,0.18184399530691664
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.21050000000000002
EPS Growth (TTM),-0.4035
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.5455
Return On Assets (TTM),-0.47240000000000004
Return On Investment (TTM),-0.503
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
cfra,
newConstructs,rating-box
ford,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
newConstructs since,
ford since,
theStreet since,
researchTeam since,
marketEdge opinion since,
