,ICFI
% Below High,0.08529999999999999
% Held by Institutions,0.9570000000000001
52-Wk Range,['84.68 - 121.28']
Annual Dividend $,0.56
Annual Dividend %,0.005
Ask,174.18
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.5
Bid,44.52
Bid Size,200.0
Closing Price,110.93
Day Change $,0.37
Day Change %,0.0033
Day High,112.12
Day Low,109.96
Dividend Pay Date,2023-01-12 00:00:00
"EPS (TTM, GAAP)",3.54
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.292
Last (size),55.0
Last (time),1:00p ET 11/25/22
Market Cap,2.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.32
Prev Close,110.56
Short Interest,0.0182
Today's Open,109.96
Volume,22795.0
Volume 10-day Avg,86863.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.20416666666666683
Growth 1yr High Est,0.2058212058212059
Growth 1yr Consensus Est,0.20499393624393636
Growth 2yr Low Est,0.10554354094579022
Growth 2yr High Est,0.13135887877267194
Growth 2yr Consensus Est,0.11845120985923108
Growth 5yr Low Est,0.09192839697891919
Growth 5yr High Est,0.09928792995237368
Growth 5yr Consensus Est,0.09560816346564643
Growth 5yr Actual/Est,0.09825686826204705
Growth 3yr Historic,0.04017364421715641
Price/Earnings (TTM),31.31705
Price/Sales (TTM),1.23519
Price/Book (MRQ),2.49388
Price/Cash Flow (TTM),19.03072
5yr Low,47.75
5yr High,121.28
5yr Avg Return,0.14546666666666666
EPS Growth 5yr,0.0916456
Revenue Growth 5yr,0.055568
Dividend Growth 5yr,
Short Int Current Month,334160.0
Short Int Prev Month,371624.0
Short Int Pct of Float,0.018206899999999998
Days to Cover,2.17688
Float,18.35715
Shares Outstanding,18.84389
Institutions Holding Shares,299.0
FCF Growth 5yr,-0.16150125596619072
"Price/Earnings (TTM, GAAP)",31.32
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.36119999999999997
Operating Profit Margin (TTM),0.0616
Net Profit Margin (TTM),0.039900000000000005
Annual Dividend Yield,0.005
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.0355
EPS Growth (TTM),-0.0592
Revenue Growth (MRQ),0.10560000000000001
Revenue Growth (TTM),0.0581
Return On Equity (TTM),0.0828
Return On Assets (TTM),0.0358
Return On Investment (TTM),0.044800000000000006
Revenue Per Employee (TTM),219784.0
Total Debt/Total Capital (MRQ),0.4611
Change in Debt/Total Capital Quarter over Quarter,0.0091
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.79
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-08-17 00:00:00
researchTeam since,2022-11-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
