,NSC
% Below High,0.1567
% Held by Institutions,0.7302
52-Wk Range,['203.65 - 299.20']
Annual Dividend $,4.96
Annual Dividend %,0.0197
Ask,259.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,250.42
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,252.32
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-21 00:00:00
"EPS (TTM, GAAP)",13.59
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.29
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,252.32
Market Cap,58.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.57
Prev Close,252.32
Short Interest,0.012
Today's Open,
Volume,2.0
Volume 10-day Avg,1180060.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,0.1578498293515358
Growth 1yr High Est,0.16062602965403627
Growth 1yr Consensus Est,0.15923792950278604
Growth 2yr Low Est,0.04318431040163373
Growth 2yr High Est,0.11792834484830983
Growth 2yr Consensus Est,0.08055632762497178
Growth 5yr Low Est,0.07489596953213515
Growth 5yr High Est,0.10195514890427027
Growth 5yr Consensus Est,0.0884255592182027
Growth 5yr Actual/Est,0.09404041425365264
Growth 3yr Historic,0.05290705339485827
Price/Earnings (TTM),18.5684
Price/Sales (TTM),4.72619
Price/Book (MRQ),4.48523
Price/Cash Flow (TTM),13.12712
5yr Low,112.62
5yr High,299.2
5yr Avg Return,0.12798333333333337
EPS Growth 5yr,0.16592669999999998
Revenue Growth 5yr,0.0241674
Dividend Growth 5yr,0.120047
Short Int Current Month,2786120.0
Short Int Prev Month,3413027.0
Short Int Pct of Float,0.0120495
Days to Cover,1.99119
Float,231.2235
Shares Outstanding,231.5142
Institutions Holding Shares,1862.0
FCF Growth 5yr,0.32742085748748523
"Price/Earnings (TTM, GAAP)",18.57
"PEG Ratio (TTM, GAAP)",2.07
Gross Profit Margin (TTM),0.5117
Operating Profit Margin (TTM),0.3849
Net Profit Margin (TTM),0.2621
Annual Dividend Yield,0.0197
Dividend Change %,0.10640000000000001
"Dividend Growth Rate, 3 Years",0.11019999999999999
EPS Growth (MRQ),0.1887
EPS Growth (TTM),0.1684
Revenue Growth (MRQ),0.0286
Revenue Growth (TTM),0.1378
Return On Equity (TTM),0.2407
Return On Assets (TTM),0.08320000000000001
Return On Investment (TTM),0.0891
Revenue Per Employee (TTM),682873.0
Total Debt/Total Capital (MRQ),0.5364
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),0.87
Interest Coverage (MRQ),7.19
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2016-03-18 00:00:00
cfra since,2022-07-11 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
