,MTW
% Above Low,0.2829
% Held by Institutions,0.7315999999999999
52-Wk Range,['7.53 - 20.55']
Annual Dividend $,
Annual Dividend %,
Ask,10.48
Ask Size,400.0
B/A Ratio,3.75
B/A Size,1500x400
Beta,2.1
Bid,9.65
Bid Size,1500.0
Change Since Close,-0.01| |(-0.10%)
Closing Price,9.66
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.47
Ex-dividend Date,No dividend
Historical Volatility,0.489
Last (size),16.0
Last (time),5:00p ET 11/25/22
Last Trade,9.65
Market Cap,339.9M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.39
Prev Close,9.66
Short Interest,0.0246
Today's Open,
Volume,500.0
Volume 10-day Avg,183768.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.7175141242937852
Growth 1yr High Est,-0.6844660194174756
Growth 1yr Consensus Est,-0.7009900718556304
Growth 2yr Low Est,-0.6787570621468926
Growth 2yr High Est,-0.2037714712471994
Growth 2yr Consensus Est,-0.441264266697046
Growth 5yr Low Est,-0.3393785310734463
Growth 5yr High Est,-0.1018857356235997
Growth 5yr Consensus Est,-0.220632133348523
Growth 5yr Actual/Est,-1.2687313996241862
Growth 3yr Historic,-1.1605820105820106
Price/Earnings (TTM),20.39395
Price/Sales (TTM),0.17807
Price/Book (MRQ),0.53873
Price/Cash Flow (TTM),4.13483
5yr Low,7.24
5yr High,44.03
5yr Avg Return,-0.12753333333333336
EPS Growth 5yr,
Revenue Growth 5yr,0.0129396
Dividend Growth 5yr,
Short Int Current Month,841116.0
Short Int Prev Month,914713.0
Short Int Pct of Float,0.024608599999999998
Days to Cover,3.97015
Float,34.20938
Shares Outstanding,35.18455
Institutions Holding Shares,196.0
FCF Growth 5yr,1.1346542974764275
"Price/Earnings (TTM, GAAP)",20.39
"PEG Ratio (TTM, GAAP)",1.76
Gross Profit Margin (TTM),0.17149999999999999
Operating Profit Margin (TTM),0.023700000000000002
Net Profit Margin (TTM),0.0089
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.8469
EPS Growth (TTM),0.0296
Revenue Growth (MRQ),-0.0855
Revenue Growth (TTM),0.1549
Return On Equity (TTM),0.026400000000000003
Return On Assets (TTM),0.0096
Return On Investment (TTM),0.0138
Revenue Per Employee (TTM),414935.0
Total Debt/Total Capital (MRQ),0.395
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),0.56
Interest Coverage (MRQ),1.05
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-02-10 00:00:00
ford since,2022-06-17 00:00:00
cfra since,
marketEdge opinion since,
