,KNX
% Below High,0.1233
% Held by Institutions,0.9257
52-Wk Range,['42.50 - 62.29']
Annual Dividend $,0.48
Annual Dividend %,0.0088
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,54.21
Bid Size,
Closing Price,54.61
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-27 00:00:00
"EPS (TTM, GAAP)",5.32
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.342
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,8.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.26
Prev Close,54.61
Short Interest,0.0696
Today's Open,
Volume,374941.0
Volume 10-day Avg,2393433.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.14666666666666672
Growth 1yr High Est,0.14254385964912286
Growth 1yr Consensus Est,0.1446052631578948
Growth 2yr Low Est,-0.07298449612403102
Growth 2yr High Est,0.019448513317843585
Growth 2yr Consensus Est,-0.026767991403093716
Growth 5yr Low Est,0.19932160719002612
Growth 5yr High Est,0.22905438100709663
Growth 5yr Consensus Est,0.21418799409856135
Growth 5yr Actual/Est,0.22829202790723108
Growth 3yr Historic,0.24675056126669026
Price/Earnings (TTM),10.2596
Price/Sales (TTM),1.1698
Price/Book (MRQ),1.28911
Price/Cash Flow (TTM),5.75449
5yr Low,23.27
5yr High,62.29
5yr Avg Return,0.09848333333333331
EPS Growth 5yr,0.3095164
Revenue Growth 5yr,0.3992991
Dividend Growth 5yr,
Short Int Current Month,10046357.0
Short Int Prev Month,9920701.0
Short Int Pct of Float,0.0695691
Days to Cover,4.23908
Float,144.5487
Shares Outstanding,160.696
Institutions Holding Shares,671.0
FCF Growth 5yr,0.10644885235360498
"Price/Earnings (TTM, GAAP)",10.26
"PEG Ratio (TTM, GAAP)",1.37
Gross Profit Margin (TTM),0.6291
Operating Profit Margin (TTM),0.1642
Net Profit Margin (TTM),0.1169
Annual Dividend Yield,0.0088
Dividend Change %,0.1875
"Dividend Growth Rate, 3 Years",0.1655
EPS Growth (MRQ),-0.1038
EPS Growth (TTM),0.4143
Revenue Growth (MRQ),-0.032799999999999996
Revenue Growth (TTM),0.37420000000000003
Return On Equity (TTM),0.13390000000000002
Return On Assets (TTM),0.08310000000000001
Return On Investment (TTM),0.0908
Revenue Per Employee (TTM),273789.0
Total Debt/Total Capital (MRQ),0.21600000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),19.08
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-04-27 00:00:00
researchTeam since,2022-07-01 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-10-21 00:00:00
ford since,2022-07-01 00:00:00
marketEdge opinion since,
