,HEAR
% Above Low,0.49520000000000003
% Held by Institutions,0.6799
52-Wk Range,['6.22 - 28.48']
Annual Dividend $,
Annual Dividend %,
Ask,9.75
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.8
Bid,8.9
Bid Size,200.0
Closing Price,9.3
Day Change $,0.02
Day Change %,0.0022
Day High,9.34
Day Low,9.15
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.96
Ex-dividend Date,No dividend
Historical Volatility,0.8109999999999999
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,154.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,9.28
Short Interest,0.0969
Today's Open,9.24
Volume,32936.0
Volume 10-day Avg,261369.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-2.2685185185185186
Growth 1yr High Est,-2.0161290322580645
Growth 1yr Consensus Est,-2.1423237753882916
Growth 2yr Low Est,-1.4225804271424711
Growth 2yr High Est,-1.8136200716845878
Growth 2yr Consensus Est,-1.6181002494135295
Growth 5yr Low Est,-1.1119089640069302
Growth 5yr High Est,-1.3519371906468678
Growth 5yr Consensus Est,-1.2319230773268992
Growth 5yr Actual/Est,-0.3021516152346375
Growth 3yr Historic,0.4921875000000001
Price/Earnings (TTM),
Price/Sales (TTM),0.61915
Price/Book (MRQ),1.40839
Price/Cash Flow (TTM),
5yr Low,1.64
5yr High,38.7
5yr Avg Return,1.1619666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.1605967
Dividend Growth 5yr,
Short Int Current Month,1492324.0
Short Int Prev Month,1558358.0
Short Int Pct of Float,0.09689600000000001
Days to Cover,3.74164
Float,15.40632
Shares Outstanding,16.55696
Institutions Holding Shares,146.0
FCF Growth 5yr,1.3567984564989077
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2602
Operating Profit Margin (TTM),-0.1493
Net Profit Margin (TTM),-0.1278
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3279
EPS Growth (TTM),-2.1841
Revenue Growth (MRQ),0.2422
Revenue Growth (TTM),-0.36200000000000004
Return On Equity (TTM),-0.2616
Return On Assets (TTM),-0.1401
Return On Investment (TTM),-0.2402
Revenue Per Employee (TTM),914324.0
Total Debt/Total Capital (MRQ),0.2898
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),0.54
Interest Coverage (MRQ),-30.44
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-08-18 00:00:00
researchTeam since,2021-07-16 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-06 00:00:00
cfra since,
marketEdge opinion since,
