,HEAR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,22.87,Valuation,
Price/Sales (TTM),0.62,5.73,Valuation,0.1082024432809773
Price/Book (MRQ),1.41,44.1,Valuation,0.03197278911564626
"PEG Ratio (TTM, GAAP)",,2.57,Valuation,
Gross Profit Margin (TTM),0.2602,0.4263,Profitability,0.6103682852451325
Operating Profit Margin (TTM),-0.1493,0.2867,Profitability,-0.5207534007673525
Net Profit Margin (TTM),-0.1278,0.23690000000000003,Profitability,-0.5394681300126635
Annual Dividend Yield,,0.0074,Dividend,
Dividend Change %,,0.0593,Dividend,
"Dividend Growth Rate, 3 Years",,0.0618,Dividend,
EPS Growth (MRQ),0.3279,0.0139,Gowth rates,23.58992805755396
EPS Growth (TTM),-2.1841,0.0891,Gowth rates,-24.512906846240178
Revenue Growth (MRQ),0.2422,0.0784,Gowth rates,3.0892857142857144
Revenue Growth (TTM),-0.36200000000000004,0.0893,Gowth rates,-4.053751399776036
Return On Equity (TTM),-0.2616,1.7101,Effectiveness,-0.15297351032103387
Return On Assets (TTM),-0.1401,0.27030000000000004,Effectiveness,-0.518312985571587
Return On Investment (TTM),-0.2402,0.45,Effectiveness,-0.5337777777777778
Revenue Per Employee (TTM),914324.0,2289443.0,Effectiveness,0.3993652604585482
Total Debt/Total Capital (MRQ),0.2898,0.7151000000000001,Financial strength,0.4052580058733044
Change in Debt/Total Capital Quarter over Quarter,,-0.0004,Financial strength,
Quick Ratio (MRQ),0.54,0.84,Financial strength,0.6428571428571429
Interest Coverage (MRQ),-30.44,317.99,Financial strength,-0.09572628070065096
