,OOMA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,7.61,Valuation,
Price/Sales (TTM),1.9,2.74,Valuation,0.6934306569343065
Price/Book (MRQ),6.61,1.85,Valuation,3.572972972972973
"PEG Ratio (TTM, GAAP)",,0.04,Valuation,
Gross Profit Margin (TTM),0.6258,0.5695,Profitability,1.0988586479367868
Operating Profit Margin (TTM),-0.0144,0.0719,Profitability,-0.20027816411682892
Net Profit Margin (TTM),-0.0042,0.05280000000000001,Profitability,-0.07954545454545453
Annual Dividend Yield,,0.0579,Dividend,
Dividend Change %,,0.010700000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0122,Dividend,
EPS Growth (MRQ),1.4364,0.1478,Gowth rates,9.71853856562923
EPS Growth (TTM),0.6476000000000001,2.0171,Gowth rates,0.32105497992166976
Revenue Growth (MRQ),0.046,0.0106,Gowth rates,4.339622641509433
Revenue Growth (TTM),0.1267,-0.0422,Gowth rates,-3.0023696682464456
Return On Equity (TTM),-0.0165,0.1605,Effectiveness,-0.102803738317757
Return On Assets (TTM),-0.0075,0.0242,Effectiveness,-0.30991735537190085
Return On Investment (TTM),-0.013500000000000002,0.0487,Effectiveness,-0.2772073921971253
Revenue Per Employee (TTM),529115.0,880071.0,Effectiveness,0.601218538049771
Total Debt/Total Capital (MRQ),0.0,0.5642,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,-0.0006,Financial strength,
Quick Ratio (MRQ),0.82,0.68,Financial strength,1.2058823529411764
Interest Coverage (MRQ),,6.5,Financial strength,
