,OOMA
% Above Low,0.46490000000000004
% Held by Institutions,0.8081
52-Wk Range,['10.82 - 21.89']
Annual Dividend $,
Annual Dividend %,
Ask,15.97
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,15.6
Bid Size,100.0
Closing Price,15.85
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.04
Ex-dividend Date,No dividend
Historical Volatility,0.42700000000000005
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,385.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,15.85
Short Interest,0.0337
Today's Open,
Volume,24531.0
Volume 10-day Avg,45798.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.0
Growth 1yr High Est,-0.040000000000000036
Growth 1yr Consensus Est,-0.020000000000000018
Growth 2yr Low Est,0.0
Growth 2yr High Est,0.10499999999999998
Growth 2yr Consensus Est,0.05249999999999999
Growth 5yr Low Est,0.0
Growth 5yr High Est,0.06999999999999999
Growth 5yr Consensus Est,0.034999999999999996
Growth 5yr Actual/Est,-4.305503052284743
Growth 3yr Historic,-4.32312925170068
Price/Earnings (TTM),
Price/Sales (TTM),1.90058
Price/Book (MRQ),6.60643
Price/Cash Flow (TTM),101.2234
5yr Low,7.45
5yr High,24.89
5yr Avg Return,0.09313333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.129661
Dividend Growth 5yr,
Short Int Current Month,758782.0
Short Int Prev Month,863838.0
Short Int Pct of Float,0.0336605
Days to Cover,10.96268
Float,22.54141
Shares Outstanding,24.3
Institutions Holding Shares,139.0
FCF Growth 5yr,-0.7271726278714468
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6258
Operating Profit Margin (TTM),-0.0144
Net Profit Margin (TTM),-0.0042
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.4364
EPS Growth (TTM),0.6476000000000001
Revenue Growth (MRQ),0.046
Revenue Growth (TTM),0.1267
Return On Equity (TTM),-0.0165
Return On Assets (TTM),-0.0075
Return On Investment (TTM),-0.013500000000000002
Revenue Per Employee (TTM),529115.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),0.82
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-05-28 00:00:00
theStreet since,2020-11-23 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-22 00:00:00
cfra since,
marketEdge opinion since,
