,IEX
% Below High,0.015300000000000001
% Held by Institutions,1.0151000000000001
52-Wk Range,['172.19 - 240.33']
Annual Dividend $,2.4
Annual Dividend %,0.0101
Ask,237.35
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,
Bid Size,
Closing Price,236.66
Day Change $,1.26
Day Change %,0.0054
Day High,237.78
Day Low,233.71
Dividend Pay Date,2023-01-27 00:00:00
"EPS (TTM, GAAP)",7.56
Ex-dividend,2023-01-12 00:00:00
Ex-dividend Date,01/12/23
Historical Volatility,0.266
Last (size),1900.0
Last (time),5:00p ET 11/25/22
Market Cap,17.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.3
Prev Close,235.4
Short Interest,0.013600000000000001
Today's Open,234.69
Volume,132039.0
Volume 10-day Avg,323511.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.6067864271457089
Growth 1yr High Est,0.5555555555555556
Growth 1yr Consensus Est,0.5811709913506322
Growth 2yr Low Est,0.30463544959769917
Growth 2yr High Est,0.33504378762999465
Growth 2yr Consensus Est,0.3198396186138469
Growth 5yr Low Est,0.11826600066091855
Growth 5yr High Est,0.14098079792458637
Growth 5yr Consensus Est,0.12962339929275246
Growth 5yr Actual/Est,0.11227763671885743
Growth 3yr Historic,0.054631752043053594
Price/Earnings (TTM),31.30059
Price/Sales (TTM),5.78392
Price/Book (MRQ),6.37733
Price/Cash Flow (TTM),25.80578
5yr Low,104.56
5yr High,240.33
5yr Avg Return,0.1115
EPS Growth 5yr,0.1073982
Revenue Growth 5yr,0.0552396
Dividend Growth 5yr,0.09609
Short Int Current Month,1023672.0
Short Int Prev Month,925839.0
Short Int Pct of Float,0.0136176
Days to Cover,2.80259
Float,75.17479
Shares Outstanding,75.42111
Institutions Holding Shares,824.0
FCF Growth 5yr,0.5891937669376694
"Price/Earnings (TTM, GAAP)",31.3
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4522
Operating Profit Margin (TTM),0.2506
Net Profit Margin (TTM),0.1865
Annual Dividend Yield,0.0101
Dividend Change %,0.06
"Dividend Growth Rate, 3 Years",0.0849
EPS Growth (MRQ),0.2982
EPS Growth (TTM),0.34159999999999996
Revenue Growth (MRQ),0.035
Revenue Growth (TTM),0.158
Return On Equity (TTM),0.2082
Return On Assets (TTM),0.11810000000000001
Return On Investment (TTM),0.13119999999999998
Revenue Per Employee (TTM),409501.0
Total Debt/Total Capital (MRQ),0.2982
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),2.33
Interest Coverage (MRQ),22.91
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2009-05-05 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-15 00:00:00
cfra since,
marketEdge opinion since,
