,HNST
% Above Low,0.126
% Held by Institutions,0.5602
52-Wk Range,['2.54 - 8.85']
Annual Dividend $,
Annual Dividend %,
Ask,2.94
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,
Bid,2.83
Bid Size,100.0
Closing Price,2.86
Day Change $,0.12
Day Change %,0.0438
Day High,2.87
Day Low,2.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.4
Ex-dividend Date,No dividend
Historical Volatility,0.763
Last (size),100.0
Last (time),1:00p ET 11/25/22
Market Cap,265.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.74
Short Interest,0.04
Today's Open,2.73
Volume,497793.0
Volume 10-day Avg,1175387.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.24444444444444446
Growth 2yr High Est,-0.627906976744186
Growth 2yr Consensus Est,-0.43617571059431526
Growth 5yr Low Est,-0.24444444444444446
Growth 5yr High Est,-0.627906976744186
Growth 5yr Consensus Est,-0.43617571059431526
Growth 5yr Actual/Est,-0.18155391120507397
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),0.84903
Price/Book (MRQ),1.7075
Price/Cash Flow (TTM),
5yr Low,2.54
5yr High,23.88
5yr Avg Return,-0.6341500000000001
Short Int Current Month,2897632.0
Short Int Prev Month,3070415.0
Short Int Pct of Float,0.0399505
Days to Cover,2.64839
Float,85.32806
Shares Outstanding,92.67289
Institutions Holding Shares,162.0
FCF Growth 5yr,0.3773177727834714
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3008
Operating Profit Margin (TTM),-0.1461
Net Profit Margin (TTM),-0.1456
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1722
EPS Growth (TTM),0.2547
Revenue Growth (MRQ),0.0775
Revenue Growth (TTM),-0.0125
Return On Equity (TTM),-0.2217
Return On Assets (TTM),-0.1739
Return On Investment (TTM),-0.2206
Revenue Per Employee (TTM),1669374.0
Total Debt/Total Capital (MRQ),0.0006
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.53
Interest Coverage (MRQ),-404.79
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-08-29 00:00:00
researchTeam since,2022-08-29 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-11-12 00:00:00
cfra since,
marketEdge opinion since,
