,SRCE
% Below High,0.0622
% Held by Institutions,0.7445
52-Wk Range,['42.29 - 59.94']
Annual Dividend $,1.28
Annual Dividend %,0.022400000000000003
Ask,56.41
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.0
Bid,56.21
Bid Size,100.0
Day Change $,-0.85
Day Change %,-0.0149
Day High,56.99
Day Low,56.21
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",4.7
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.278
Last (size),2.0
Last (time),3:09p ET 11/28/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.13
Prev Close,57.06
Price,56.21
Short Interest,0.0084
Today's Open,56.99
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.02807775377969768
Growth 1yr High Est,0.05020920502092041
Growth 1yr Consensus Est,0.039143479400309045
Growth 2yr Low Est,-0.05003675336225194
Growth 2yr High Est,0.05797312840687452
Growth 2yr Consensus Est,0.0039681875223112895
Growth 5yr Low Est,0.04561874243244743
Growth 5yr High Est,0.10909706144100634
Growth 5yr Consensus Est,0.07735790193672688
Growth 5yr Actual/Est,0.09812736351539933
Growth 3yr Historic,0.09265125608603067
Price/Earnings (TTM),12.13307
Price/Sales (TTM),4.09123
Price/Book (MRQ),1.70319
Price/Cash Flow (TTM),10.4686
5yr Low,26.07
5yr High,59.94
5yr Avg Return,0.034166666666666665
EPS Growth 5yr,0.1620075
Revenue Growth 5yr,0.0584704
Dividend Growth 5yr,0.1094062
Short Int Current Month,189467.0
Short Int Prev Month,242540.0
Short Int Pct of Float,0.0083845
Days to Cover,4.32031
Float,22.59801
Shares Outstanding,24.65718
Institutions Holding Shares,189.0
FCF Growth 5yr,0.2631018603419117
"Price/Earnings (TTM, GAAP)",12.13
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4421
Net Profit Margin (TTM),0.3408
Annual Dividend Yield,0.022400000000000003
Dividend Change %,0.0708
"Dividend Growth Rate, 3 Years",0.0802
EPS Growth (MRQ),0.1182
EPS Growth (TTM),0.018600000000000002
Revenue Growth (MRQ),0.1309
Revenue Growth (TTM),0.0467
Return On Equity (TTM),0.1338
Return On Assets (TTM),0.0146
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0024
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-21 00:00:00
theStreet since,2020-11-16 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
