,GPRO
% Above Low,0.2311
% Held by Institutions,0.65
52-Wk Range,['4.50 - 11.59']
Annual Dividend $,
Annual Dividend %,
Ask,5.61
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,1.2
Bid,5.42
Bid Size,1000.0
Closing Price,5.54
Day Change $,0.1
Day Change %,0.0184
Day High,5.54
Day Low,5.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.47
Ex-dividend Date,No dividend
Historical Volatility,0.47500000000000003
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,863.8M
"P/E Ratio (TTM, GAAP)",11.9
Prev Close,5.44
Short Interest,0.065
Today's Open,5.41
Volume,880276.0
Volume 10-day Avg,1721443.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,8.5
Growth 1yr High Est,2.769230769230769
Growth 1yr Consensus Est,5.634615384615385
Growth 2yr Low Est,4.144736842105263
Growth 2yr High Est,1.4662480376766092
Growth 2yr Consensus Est,2.805492439890936
Growth 5yr Low Est,2.763157894736842
Growth 5yr High Est,0.9774986917844061
Growth 5yr Consensus Est,1.8703282932606242
Growth 5yr Actual/Est,2.276905684754522
Growth 3yr Historic,2.3958333333333335
Price/Earnings (TTM),11.89684
Price/Sales (TTM),0.74234
Price/Book (MRQ),1.28298
Price/Cash Flow (TTM),9.88891
5yr Low,2.0
5yr High,13.79
5yr Avg Return,0.0175
EPS Growth 5yr,
Revenue Growth 5yr,-0.0041503
Dividend Growth 5yr,
Short Int Current Month,8319451.0
Short Int Prev Month,9278748.0
Short Int Pct of Float,0.0650351
Days to Cover,2.96504
Float,127.8897
Shares Outstanding,155.927
Institutions Holding Shares,258.0
FCF Growth 5yr,-0.7072734785474363
"Price/Earnings (TTM, GAAP)",11.9
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3985
Operating Profit Margin (TTM),0.0824
Net Profit Margin (TTM),0.0674
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),6.1243
EPS Growth (TTM),-0.7927
Revenue Growth (MRQ),0.2172
Revenue Growth (TTM),0.0319
Return On Equity (TTM),0.1349
Return On Assets (TTM),0.0709
Return On Investment (TTM),0.10310000000000001
Revenue Per Employee (TTM),1519150.0
Total Debt/Total Capital (MRQ),0.1881
Change in Debt/Total Capital Quarter over Quarter,-0.0037
Quick Ratio (MRQ),1.59
Interest Coverage (MRQ),20.61
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-11-13 00:00:00
researchTeam since,2020-11-13 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2018-12-15 00:00:00
ford since,2022-07-29 00:00:00
marketEdge opinion since,
