,GPRO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.9,7.14,Valuation,1.6666666666666667
Price/Sales (TTM),0.74,7.33,Valuation,0.10095497953615279
Price/Book (MRQ),1.28,2.07,Valuation,0.6183574879227054
"PEG Ratio (TTM, GAAP)",,0.43,Valuation,
Gross Profit Margin (TTM),0.3985,0.3091,Profitability,1.2892267874474281
Operating Profit Margin (TTM),0.0824,0.1507,Profitability,0.5467816854678169
Net Profit Margin (TTM),0.0674,0.11320000000000001,Profitability,0.5954063604240283
Annual Dividend Yield,,0.016399999999999998,Dividend,
Dividend Change %,,0.2639,Dividend,
"Dividend Growth Rate, 3 Years",,0.1757,Dividend,
EPS Growth (MRQ),6.1243,-0.0688,Gowth rates,-89.01598837209302
EPS Growth (TTM),-0.7927,0.16670000000000001,Gowth rates,-4.755248950209958
Revenue Growth (MRQ),0.2172,0.1173,Gowth rates,1.8516624040920717
Revenue Growth (TTM),0.0319,0.149,Gowth rates,0.21409395973154363
Return On Equity (TTM),0.1349,0.38439999999999996,Effectiveness,0.35093652445369405
Return On Assets (TTM),0.0709,0.135,Effectiveness,0.5251851851851852
Return On Investment (TTM),0.10310000000000001,0.1699,Effectiveness,0.6068275456150678
Revenue Per Employee (TTM),1519150.0,1633986.0,Effectiveness,0.9297203280811464
Total Debt/Total Capital (MRQ),0.1881,0.29309999999999997,Financial strength,0.6417604912998977
Change in Debt/Total Capital Quarter over Quarter,-0.0037,-0.0005,Financial strength,7.4
Quick Ratio (MRQ),1.59,0.53,Financial strength,3.0
Interest Coverage (MRQ),20.61,51.09,Financial strength,0.4034057545507927
