,HAL
% Below High,0.1734
% Held by Institutions,0.823
52-Wk Range,['20.77 - 43.99']
Annual Dividend $,0.48
Annual Dividend %,0.0132
Ask,38.68
Ask Size,3500.0
B/A Ratio,0.11428571428571428
B/A Size,400x3500
Beta,2.2
Bid,36.4
Bid Size,400.0
Closing Price,36.36
Day Change $,-0.2
Day Change %,-0.0055000000000000005
Day High,36.79
Day Low,36.12
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",1.93
Ex-dividend,2022-12-07 00:00:00
Ex-dividend Date,12/07/22
Historical Volatility,0.507
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,33.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.84
Prev Close,36.56
Short Interest,0.0223
Today's Open,36.37
Volume,2930404.0
Volume 10-day Avg,8648395.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,0.97
Growth 1yr High Est,0.9035087719298247
Growth 1yr Consensus Est,0.9367543859649123
Growth 2yr Low Est,0.5027664974619289
Growth 2yr High Est,0.7420769666100737
Growth 2yr Consensus Est,0.6224217320360013
Growth 5yr Low Est,0.31746993981765553
Growth 5yr High Est,0.4338090460755996
Growth 5yr Consensus Est,0.3756394929466276
Growth 5yr Actual/Est,0.3801631612115483
Growth 3yr Historic,0.046433002481389596
Price/Earnings (TTM),18.84299
Price/Sales (TTM),1.73845
Price/Book (MRQ),4.33209
Price/Cash Flow (TTM),12.2647
5yr Low,4.25
5yr High,57.86
5yr Avg Return,0.032850000000000004
EPS Growth 5yr,
Revenue Growth 5yr,-0.007566300000000001
Dividend Growth 5yr,-0.2421417
Short Int Current Month,20182591.0
Short Int Prev Month,21683633.0
Short Int Pct of Float,0.0223029
Days to Cover,2.16584
Float,905.3698
Shares Outstanding,908.0468
Institutions Holding Shares,1126.0
FCF Growth 5yr,-2.6132180328659964
"Price/Earnings (TTM, GAAP)",18.84
"PEG Ratio (TTM, GAAP)",0.36
Gross Profit Margin (TTM),0.1519
Operating Profit Margin (TTM),0.11789999999999999
Net Profit Margin (TTM),0.0925
Annual Dividend Yield,0.013200000000000002
Dividend Change %,-0.4286
"Dividend Growth Rate, 3 Years",-0.37
EPS Growth (MRQ),3.9854000000000003
EPS Growth (TTM),3.333
Revenue Growth (MRQ),0.0558
Revenue Growth (TTM),0.3323
Return On Equity (TTM),0.2616
Return On Assets (TTM),0.0806
Return On Investment (TTM),0.1014
Revenue Per Employee (TTM),474800.0
Total Debt/Total Capital (MRQ),0.5091
Change in Debt/Total Capital Quarter over Quarter,-0.0019
Quick Ratio (MRQ),1.52
Interest Coverage (MRQ),9.1
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-10-26 00:00:00
researchTeam since,2022-11-25 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-14 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
