,DASH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,2519.53,Valuation,
Price/Sales (TTM),3.55,7.6,Valuation,0.46710526315789475
Price/Book (MRQ),3.15,10.0,Valuation,0.315
"PEG Ratio (TTM, GAAP)",,40.12,Valuation,
Gross Profit Margin (TTM),0.4617,0.4335,Profitability,1.065051903114187
Operating Profit Margin (TTM),-0.1497,0.0117,Profitability,-12.794871794871794
Net Profit Margin (TTM),-0.14529999999999998,-0.0141,Profitability,10.304964539007091
Annual Dividend Yield,,0.0004,Dividend,
Dividend Change %,,0.0027,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),-0.0611,-0.26239999999999997,Gowth rates,0.2328506097560976
EPS Growth (TTM),-0.2647,-0.6279,Gowth rates,0.42156394330307373
Revenue Growth (MRQ),0.057800000000000004,0.1585,Gowth rates,0.36466876971608836
Revenue Growth (TTM),0.3306,0.12369999999999999,Gowth rates,2.6725949878738886
Return On Equity (TTM),-0.1532,0.0635,Effectiveness,-2.41259842519685
Return On Assets (TTM),-0.1107,-0.1317,Effectiveness,0.8405466970387243
Return On Investment (TTM),-0.1428,0.0197,Effectiveness,-7.248730964467006
Revenue Per Employee (TTM),705233.0,354479.0,Effectiveness,1.9894916200959718
Total Debt/Total Capital (MRQ),0.0,0.39840000000000003,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.4575,Financial strength,
Quick Ratio (MRQ),,0.68,Financial strength,
Interest Coverage (MRQ),,-0.6,Financial strength,
