,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,195.5,257.25,152.5,,,,,
low,135.38,110.13,41.37,,,,,
change,-0.2157,0.0449,-0.6292,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,2504.0,2243.0,2727.0,2320.0,Balance Sheet
Short Term Investments,,,,1253.0,1353.0,1272.0,1492.0,Balance Sheet
Cash and Short Term Invs,,,,3757.0,3596.0,3999.0,3812.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,388.0,358.0,373.0,352.0,Balance Sheet
Prov. for Doubtful Accts,,,,-39.0,-37.0,-27.0,-27.0,Balance Sheet
"Total Receivables, Net",,,,349.0,321.0,346.0,325.0,Balance Sheet
Prepaid Expenses,,,,139.0,208.0,242.0,302.0,Balance Sheet
"Other Curr. Assets, Total",,,,320.0,293.0,246.0,251.0,Balance Sheet
Total Current Assets,,,,4565.0,4418.0,4833.0,4690.0,Balance Sheet
Buildings,,,,98.0,110.0,128.0,149.0,Balance Sheet
Machinery/Equipment,,,,495.0,580.0,663.0,729.0,Balance Sheet
Construction in Progress,,,,31.0,38.0,50.0,60.0,Balance Sheet
Other Prop./Plant/Equip.,,,,361.0,382.0,464.0,479.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,985.0,1110.0,1305.0,1417.0,Balance Sheet
Accumulated Depreciation,,,,-247.0,-301.0,-350.0,-393.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,738.0,809.0,955.0,1024.0,Balance Sheet
"Goodwill, Net",,,,316.0,376.0,2315.0,2198.0,Balance Sheet
Intangibles - Gross,,,,132.0,150.0,902.0,871.0,Balance Sheet
Accum. Intangible Amort.,,,,-71.0,-74.0,-93.0,-136.0,Balance Sheet
Intangibles - Net,,,,61.0,76.0,809.0,735.0,Balance Sheet
Long Term Investments,,,,650.0,643.0,495.0,365.0,Balance Sheet
Other Long Term Assets,,,,479.0,500.0,521.0,540.0,Balance Sheet
Total Assets,,,,6809.0,6822.0,9928.0,9552.0,Balance Sheet
Accounts Payable,,,,161.0,203.0,207.0,238.0,Balance Sheet
Accrued Expenses,,,,1186.0,1144.0,1257.0,1440.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,0.0,,,,Balance Sheet
Customer Advances,,,,183.0,183.0,176.0,199.0,Balance Sheet
Other Current Liabilities,,,,230.0,230.0,386.0,339.0,Balance Sheet
"Other Curr. Lblts, Total",,,,413.0,413.0,562.0,538.0,Balance Sheet
Total Current Liabilities,,,,1760.0,1760.0,2026.0,2216.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Minority Interest,,,,,,,16.0,Balance Sheet
"Other Liabilities, Total",,,,382.0,410.0,492.0,495.0,Balance Sheet
