,DASH
% Above Low,0.341
% Held by Institutions,0.8432999999999999
52-Wk Range,['41.37 - 189.00']
Annual Dividend $,
Annual Dividend %,
Ask,59.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,55.35
Bid Size,100.0
Closing Price,55.47
Day Change $,-1.11
Day Change %,-0.0196
Day High,56.44
Day Low,55.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.42
Ex-dividend Date,No dividend
Historical Volatility,0.8490000000000001
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,21.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,56.58
Short Interest,0.0596
Today's Open,55.69
Volume,1308322.0
Volume 10-day Avg,4932013.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.15172413793103456
Growth 2yr High Est,-0.9081081081081082
Growth 2yr Consensus Est,-0.3781919850885368
Growth 5yr Low Est,0.15172413793103456
Growth 5yr High Est,-0.9081081081081082
Growth 5yr Consensus Est,-0.3781919850885368
Growth 5yr Actual/Est,-0.011237359649076831
Growth 3yr Historic,-0.2706359945872801
Price/Earnings (TTM),
Price/Sales (TTM),3.5506
Price/Book (MRQ),3.15457
Price/Cash Flow (TTM),
5yr Low,41.37
5yr High,257.25
5yr Avg Return,-0.26666666666666666
Short Int Current Month,21057431.0
Short Int Prev Month,24582540.0
Short Int Pct of Float,0.0595536
Days to Cover,2.34363
Float,357.9369
Shares Outstanding,388.2173
Institutions Holding Shares,556.0
FCF Growth 5yr,-7.315018315018315
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4617
Operating Profit Margin (TTM),-0.1497
Net Profit Margin (TTM),-0.14529999999999998
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0611
EPS Growth (TTM),-0.2647
Revenue Growth (MRQ),0.057800000000000004
Revenue Growth (TTM),0.3306
Return On Equity (TTM),-0.1532
Return On Assets (TTM),-0.1107
Return On Investment (TTM),-0.1428
Revenue Per Employee (TTM),705233.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-02-22 00:00:00
cfra since,2021-05-13 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2022-02-22 00:00:00
marketEdge opinion since,
