,NJR
% Below High,0.009399999999999999
% Held by Institutions,0.7392
52-Wk Range,['36.77 - 50.11']
Annual Dividend $,1.56
Annual Dividend %,0.031400000000000004
Ask,50.78
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.7
Bid,34.25
Bid Size,100.0
Closing Price,49.64
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",2.85
Ex-dividend,2022-12-13 00:00:00
Ex-dividend Date,12/13/22
Historical Volatility,0.261
Last (size),46.0
Last (time),5:00p ET 11/25/22
Market Cap,4.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.41
Prev Close,49.64
Short Interest,0.0344
Today's Open,
Volume,268143.0
Volume 10-day Avg,893759.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.12037037037037024
Growth 1yr High Est,0.016129032258064502
Growth 1yr Consensus Est,0.06824970131421737
Growth 2yr Low Est,0.07671411080501989
Growth 2yr High Est,0.07354070660522272
Growth 2yr Consensus Est,0.0751274087051213
Growth 5yr Low Est,0.05171496805140391
Growth 5yr High Est,0.0806978325511915
Growth 5yr Consensus Est,0.06620640030129771
Growth 5yr Actual/Est,0.07264418129688549
Growth 3yr Historic,0.05022141706924321
Price/Earnings (TTM),17.41088
Price/Sales (TTM),1.64648
Price/Book (MRQ),2.62922
Price/Cash Flow (TTM),12.08257
5yr Low,21.14
5yr High,51.83
5yr Avg Return,0.03138333333333334
EPS Growth 5yr,0.1345857
Revenue Growth 5yr,0.0507666
Dividend Growth 5yr,0.07288599999999999
Short Int Current Month,3297949.0
Short Int Prev Month,4455624.0
Short Int Pct of Float,0.0344073
Days to Cover,7.12254
Float,95.89191
Shares Outstanding,96.3865
Institutions Holding Shares,377.0
FCF Growth 5yr,-1.9180253623188406
"Price/Earnings (TTM, GAAP)",17.41
"PEG Ratio (TTM, GAAP)",2.9
Gross Profit Margin (TTM),-1.0403
Operating Profit Margin (TTM),0.1399
Net Profit Margin (TTM),0.09179999999999999
Annual Dividend Yield,0.031400000000000004
Dividend Change %,0.0902
"Dividend Growth Rate, 3 Years",0.0741
EPS Growth (MRQ),3.1875999999999998
EPS Growth (TTM),1.3396000000000001
Revenue Growth (MRQ),0.3859
Revenue Growth (TTM),0.34750000000000003
Return On Equity (TTM),0.1595
Return On Assets (TTM),0.044500000000000005
Return On Investment (TTM),0.0543
Revenue Per Employee (TTM),2256195.0
Total Debt/Total Capital (MRQ),0.6215
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.42
Interest Coverage (MRQ),3.11
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-08-30 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
